ID,target,category,lat,lon,lower_areal_unit,serv_pop,coverage
56,132000,Federally Qualified Health Centers,41.894863,-87.670096,24,78533,1.6808220747965823
57,171000,Federally Qualified Health Centers,41.967949,-87.708311,14,104910,1.6299685444666858
58,129000,Federally Qualified Health Centers,41.910472,-87.696495,24,112089,1.1508711827208735
59,137000,Federally Qualified Health Centers,41.844079,-87.701908,30,94150,1.455124800849708
60,151000,Federally Qualified Health Centers,41.795664,-87.605373,41,74080,2.0383369330453562
61,114000,Federally Qualified Health Centers,41.806512,-87.665293,61,51682,2.2057969892806004
62,143000,Federally Qualified Health Centers,41.790204,-87.72276,62,77200,1.8523316062176165
63,103000,Federally Qualified Health Centers,41.78713,-87.683334,63,82363,1.2505615385549336
64,128000,Federally Qualified Health Centers,41.998256,-87.66317,1,100940,1.2680800475530019
65,107000,Federally Qualified Health Centers,41.968395,-87.695984,4,107571,0.9946918779224884
66,130000,Federally Qualified Health Centers,42.012446,-87.68642,2,85516,1.5201833575003507
67,145000,Federally Qualified Health Centers,42.010581,-87.666528,1,77465,1.8718130768734267
68,151000,Federally Qualified Health Centers,41.965298,-87.65208,3,103726,1.4557584405067197
69,174000,Federally Qualified Health Centers,41.968317,-87.667744,3,104537,1.664482432057549
70,200000,Federally Qualified Health Centers,41.969068,-87.655506,3,104221,1.9189990500954701
71,100000,Federally Qualified Health Centers,41.937738,-87.653069,6,125497,0.7968317967760186
72,106000,Federally Qualified Health Centers,41.800765,-87.730393,57,58357,1.8164059153143581
73,167000,Federally Qualified Health Centers,41.869207,-87.713937,29,85391,1.955709618109637
74,114000,Federally Qualified Health Centers,41.852495,-87.721969,29,103056,1.1061946902654867
75,191000,Federally Qualified Health Centers,41.806731,-87.606107,39,64788,2.948076804346484
76,114000,Federally Qualified Health Centers,41.896854,-87.629397,8,124647,0.9145827817757347
77,191000,Federally Qualified Health Centers,41.909566,-87.646593,8,124553,1.5334837378465391
78,161000,Federally Qualified Health Centers,41.817129,-87.600185,36,69920,2.3026315789473686
79,126000,Federally Qualified Health Centers,41.895847,-87.707437,23,95429,1.3203533517065043
80,109000,Federally Qualified Health Centers,41.970874,-87.658918,3,101213,1.076936757135941
83,119000,Federally Qualified Health Centers,41.887089,-87.761476,25,62879,1.8925237360645049
84,117000,Federally Qualified Health Centers,41.89058,-87.713468,23,73027,1.60214715105372
85,151000,Federally Qualified Health Centers,41.872134,-87.763833,25,31636,4.773043368314578
86,116000,Federally Qualified Health Centers,41.891214,-87.775724,0,36145,3.209295891547932
87,158000,Federally Qualified Health Centers,41.888062,-87.775564,0,36145,4.3712823350394245
88,180000,Federally Qualified Health Centers,41.90837,-87.84103,0,0,
89,178000,Federally Qualified Health Centers,41.923749,-87.760771,19,93883,1.8959769074273298
90,126000,Federally Qualified Health Centers,41.865122,-87.779182,0,1787,70.50923335198657
91,147000,Federally Qualified Health Centers,41.900729,-87.699359,24,85929,1.710714659777258
92,154000,Federally Qualified Health Centers,41.900787,-87.69934,24,91167,1.6892077177048712
93,198000,Federally Qualified Health Centers,41.924812,-87.725383,22,101258,1.955401054731478
94,129000,Federally Qualified Health Centers,41.911398,-87.726084,23,101873,1.2662825282459533
95,134000,Federally Qualified Health Centers,41.945725,-87.768527,15,76975,1.7408249431633647
96,187000,Federally Qualified Health Centers,41.907517,-87.686297,24,97546,1.9170442662948763
97,144000,Federally Qualified Health Centers,41.658769,-87.596754,54,7190,20.027816411682892
98,191000,Federally Qualified Health Centers,41.809594,-87.661589,61,48463,3.941150981160886
99,174000,Federally Qualified Health Centers,41.779454,-87.641458,68,54957,3.166111687319177
100,122000,Federally Qualified Health Centers,41.808883,-87.644496,61,65148,1.8726591760299625
101,142000,Federally Qualified Health Centers,41.866379,-87.67203,28,54143,2.6226843728644513
102,188000,Federally Qualified Health Centers,41.903091,-87.708436,23,90494,2.077485800163547
103,104000,Federally Qualified Health Centers,41.765753,-87.574527,43,23641,4.399137092339579
104,132000,Federally Qualified Health Centers,41.958314,-87.681633,5,117383,1.1245239941047682
105,162000,Federally Qualified Health Centers,41.854808,-87.695184,30,93152,1.7390930951563037
106,188000,Federally Qualified Health Centers,41.941275,-87.649123,6,131410,1.4306369378281714
107,192000,Federally Qualified Health Centers,41.936283,-87.64491,6,106543,1.8020892972790328
108,119000,Federally Qualified Health Centers,41.955158,-87.654183,3,116418,1.0221787008881789
109,193000,Federally Qualified Health Centers,41.846657,-87.621323,33,55716,3.4639959796108837
110,112000,Federally Qualified Health Centers,41.8582,-87.665844,31,59209,1.8916043169112804
111,136000,Federally Qualified Health Centers,41.826787,-87.608326,36,71645,1.8982483076278875
112,155000,All Free Health Clinics,41.895412,-87.692322,24,70872,2.187041426797607
113,131000,All Free Health Clinics,41.779454,-87.641458,68,54957,2.38368178757938
114,198000,All Free Health Clinics,41.779369,-87.692756,66,78277,2.52947864634567
115,128000,All Free Health Clinics,41.877896,-87.698941,27,74033,1.7289587076033661
116,172000,All Free Health Clinics,41.990164,-87.696322,2,83199,2.067332540054568
117,109000,All Free Health Clinics,41.811402,-87.599323,39,67979,1.603436355345033
118,143000,All Free Health Clinics,41.862007,-87.639884,28,42334,3.3778995606368403
119,196000,All Free Health Clinics,41.879887,-87.665505,28,71100,2.7566807313642756
120,138000,All Free Health Clinics,41.802782,-87.66473,61,44685,3.088284659281638
121,119000,All Free Health Clinics,41.794284,-87.671034,61,52293,2.2756391868892587
122,123000,All Free Health Clinics,41.999151,-87.700026,2,80980,1.5188935539639417
123,160000,All Free Health Clinics,41.796908,-87.619301,40,75604,2.116290143378657
124,162000,Hospitals,41.721119,-87.732553,0,0,
125,147000,Hospitals,41.936793,-87.651935,6,122727,1.197780439512088
126,160000,Hospitals,42.038478,-87.847611,0,0,
127,112000,Hospitals,41.726676,-87.567184,48,2034,55.063913470993114
128,112000,Hospitals,41.896389,-87.621686,8,90617,1.2359711753865168
129,192000,Hospitals,41.970315,-87.650581,3,76255,2.5178676808078158
130,183000,Hospitals,41.95766,-87.796689,17,35606,5.139583216311857
131,191000,Hospitals,42.064303,-87.690024,0,0,
132,146000,Hospitals,41.890525,-87.720162,23,68978,2.116616892342486
133,198000,Hospitals,41.769456,-87.692394,66,55997,3.5359037091272745
134,123000,Hospitals,41.60758,-87.659773,0,0,
135,195000,Hospitals,41.757306,-87.585265,43,61135,3.189662222949211
136,102000,Hospitals,41.870244,-87.677579,28,70043,1.4562483046128807
137,179000,Hospitals,41.873588,-87.674275,28,78107,2.2917280141344567
138,187000,Hospitals,41.940239,-87.72831,16,91437,2.045123965134464
139,183000,Hospitals,41.993285,-87.655691,77,78158,2.3414109879986693
140,176000,Hospitals,41.961466,-87.693321,4,112417,1.565599508971063
141,126000,Hospitals,41.7776,-87.5711,42,7281,17.3053152039555
142,119000,Hospitals,41.720942,-87.692198,0,14521,8.195027890641141
143,125000,Hospitals,41.872134,-87.763833,25,31636,3.951194841320015
144,100000,Hospitals,41.859859,-87.835105,0,0,
145,143000,Hospitals,41.832507,-87.792205,0,0,
146,131000,Hospitals,41.846657,-87.621323,33,55716,2.3512097063680093
147,132000,Hospitals,41.973205,-87.670811,3,97841,1.3491276663157572
148,192000,Hospitals,41.860111,-87.695707,29,108537,1.7689820061361563
149,200000,Hospitals,41.89464,-87.621127,8,93140,2.1473051320592655
150,154000,Hospitals,41.900729,-87.699359,24,85929,1.792177262623794
151,191000,Hospitals,41.878587,-87.803373,0,0,
152,184000,Hospitals,41.945427,-87.767731,15,76975,2.390386489119844
153,152000,Hospitals,41.987827,-87.81437,10,28073,5.414455170448473
154,115000,Hospitals,41.933769,-87.637225,6,72584,1.5843712112862338
155,126000,Hospitals,41.907605,-87.685474,24,90876,1.3865046877063252
156,117000,Hospitals,41.902679,-87.683567,24,101217,1.1559323038619995
157,131000,Hospitals,42.02465,-87.684407,0,32259,4.060882234415202
158,134000,Hospitals,41.802489,-87.613566,38,90154,1.4863455864409787
159,174000,Hospitals,41.895437,-87.618317,8,78649,2.2123612506198427
160,102000,Hospitals,41.874913,-87.712308,27,66298,1.5385079489577362
161,181000,Hospitals,41.6922,-87.625272,49,38377,4.716366573729056
162,137000,Hospitals,41.874886,-87.669124,28,70167,1.952484786295552
163,154000,Hospitals,41.861013,-87.695512,29,108537,1.4188709840883753
164,111000,Hospitals,41.919884,-87.793337,18,38126,2.9113990452709437
165,138000,Hospitals,41.749438,-87.569077,46,30375,4.54320987654321
166,100000,Hospitals,41.855193,-87.698001,30,86867,1.1511851451068875
167,195000,Hospitals,41.778682,-87.632918,68,53360,3.654422788605697
168,104000,Hospitals,41.658019,-87.677373,0,0,
169,117000,Hospitals,41.975375,-87.699623,4,74436,1.571820087054651
170,192000,Hospitals,41.954734,-87.651524,3,121943,1.5745061217126035
171,129000,Hospitals,41.788313,-87.604566,41,65236,1.9774357716598197
172,196000,Hospitals,41.869374,-87.670514,28,66331,2.954877809772203
173,126000,Hospitals,41.966432,-87.649356,3,86695,1.4533710133225677
174,152000,Hospitals,41.891372,-87.776114,0,42108,3.6097653652512585
175,170000,Other Health Providers,41.852812,-87.634843,34,85143,1.9966409452333134
176,183000,School-Based Health Centers,41.764069,-87.602436,69,50751,3.6058402790092807
177,173000,School-Based Health Centers,42.002303,-87.669269,1,93050,1.8592154755507793
178,138000,School-Based Health Centers,41.855858,-87.674484,31,55081,2.505401136508052
179,141000,School-Based Health Centers,41.835048,-87.734989,30,36575,3.855092276144908
180,184000,School-Based Health Centers,41.853725,-87.663656,31,72358,2.542911633820725
181,190000,School-Based Health Centers,41.885139,-87.762695,25,57066,3.329478148109207
182,110000,School-Based Health Centers,41.954965,-87.668647,6,97252,1.1310821371282853
183,140000,School-Based Health Centers,41.861114,-87.703163,29,111827,1.2519337905872463
184,124000,School-Based Health Centers,41.975149,-87.679997,4,79549,1.5587876654640536
185,171000,School-Based Health Centers,41.902617,-87.686129,24,102374,1.6703459862855803
186,119000,School-Based Health Centers,41.893116,-87.718854,23,64235,1.8525725850393089
187,180000,School-Based Health Centers,41.774501,-87.697214,66,62415,2.883922134102379
188,101000,School-Based Health Centers,41.808279,-87.627175,38,70235,1.438029472485228
189,199000,School-Based Health Centers,41.970835,-87.71023,14,80245,2.479905290049224
190,130000,School-Based Health Centers,41.965039,-87.714491,14,89400,1.45413870246085
191,200000,School-Based Health Centers,41.989017,-87.666424,77,98164,2.03740678863942
192,152000,School-Based Health Centers,41.965988,-87.652189,3,95601,1.5899415278082865
194,125000,School-Based Health Centers,41.840527,-87.617244,35,59553,2.098970664785989
195,115000,School-Based Health Centers,41.823806,-87.619944,35,80321,1.4317550827305436
196,155000,School-Based Health Centers,41.80433,-87.605137,39,67673,2.2904260192395784
197,109000,School-Based Health Centers,41.916349,-87.722329,22,103045,1.057790285797467
198,198000,School-Based Health Centers,41.877267,-87.683238,28,72862,2.717465894430567
199,119000,School-Based Health Centers,41.894171,-87.726049,23,58155,2.046255695984868
200,192000,School-Based Health Centers,41.864614,-87.668356,28,80219,2.3934479362744487
201,192000,School-Based Health Centers,41.656346,-87.589774,54,3922,48.95461499235084
202,163000,School-Based Health Centers,41.821763,-87.70102,58,51061,3.192260237754842
203,193000,School-Based Health Centers,41.883751,-87.667918,28,73952,2.6098009519688445
204,145000,School-Based Health Centers,41.852602,-87.629235,33,65430,2.216108818584747
205,123000,School-Based Health Centers,41.844418,-87.618482,35,76715,1.6033370266571074
206,120000,School-Based Health Centers,41.746031,-87.652059,71,51898,2.3122278315156652
