,ID.org,clean name,match_0,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9
21,RR8763,ST FRANCES DE CHANTAL CHURCH,"{'address': '190 Hollywood Ave; Bronx, NY 10465', 'score': 1.0, 'name': 'ST FRANCES DE CHANTAL CHURCH'}","{'address': '1273 58th St; Brooklyn, NY 11219', 'score': 0.77, 'name': 'SAINT FRANCES DE CHANTAL ROMAN CATHOL'}",{},{},{},{},{},{},{},{}
22,A1889,MUNICIPAL ART SOCIETY OF NY,"{'address': '111 W 57th St; New York, NY 10019', 'score': 0.88, 'name': 'MUNICIPAL ART SOCIETY'}","{'address': '457 Madison Ave; New York, NY 10022', 'score': 0.86, 'name': ' MUNICIPAL ART SOCIETY'}",{},{},{},{},{},{},{},{}
23,DI4372,KNOWLEDGE AND POWER PREPARATORY VII MIDDLE SCHOOL,"{'address': '500 E Fordham Rd; Bronx, NY 10458', 'score': 0.64, 'name': 'KNOWLEDGE AMP POWER PREP ACADEMY'}","{'address': '9218 Kings Hwy; Brooklyn, NY 11212', 'score': 0.59, 'name': 'KINGS HIGHWAY PREPARATORY SCHOOL'}","{'address': '5 W 93rd St; New York, NY 10025', 'score': 0.59, 'name': 'COLUMBIA GRAMMAR AND PREPARATORY SCHOOL'}","{'address': '250 Thurman Munson Way; Bronx, NY 10451', 'score': 0.56, 'name': 'KIPPKNOWLEDGE IS POWER PROGRAM'}","{'address': '6802 Metropolitan Ave; Middle Village, NY 11379', 'score': 0.45, 'name': 'MIDDLE VILLAGE PREPARATORY'}",{},{},{},{},{}
24,RR8519,OLDER CHILD ADOPTION AND PERMANE NCY MOVEMENT,"{'address': '58 W 58th St; New York, NY 10019', 'score': 0.59, 'name': 'ALLIANCE FOR CHILDREN ADOPTION AGENCY'}","{'address': '589 8th Ave Fl #15; New York, NY 10018', 'score': 0.46, 'name': 'COUNCIL ON ADOPTABLE CHILDREN'}",{},{},{},{},{},{},{},{}
25,RR7102,CONGREGATION KEHAL PREMISHLAN,"{'address': '1184 53rd St; Brooklyn, NY 11219', 'score': 0.78, 'name': 'CONGREGATION KEHAL YERAIM'}","{'address': '2222 Cruger Ave; Bronx, NY 10467', 'score': 0.75, 'name': 'CONGREGATION KEHAL ADATH'}","{'address': '1542 Coney Island Ave; Brooklyn, NY 11230', 'score': 0.72, 'name': 'CONGREGATION KEHAL IMREI SHAUL D MODZITZ'}",{},{},{},{},{},{},{}
26,RR7214,HOLY CHILD JESUS SPORTS,{},{},{},{},{},{},{},{},{},{}
27,A1082,FLAMES NEIGHBORHOOD YOUTH ASSOCIATION,"{'address': '2251 83rd St; Brooklyn, NY 11214', 'score': 0.81, 'name': 'FLAMES NEIGHBORHOOD YOUTH'}",{},{},{},{},{},{},{},{},{}
28,Y172,MANHATTAN VALLEY,"{'address': '100 Manhattan Ave; New York, NY 10025', 'score': 0.76, 'name': 'MANHATTAN VALLEY TOWNHOUSE'}","{'address': '73 W 108th St; New York, NY 10025', 'score': 0.73, 'name': 'MANHATTAN VALLEY DEVELOPMENT'}","{'address': '2865 Kingsbridge Ter #APT 4C; Bronx, NY 10463', 'score': 0.73, 'name': 'MANHATTAN VALLEY DEVMNT CORP'}","{'address': '984 Columbus Ave; New York, NY 10025', 'score': 0.67, 'name': 'MANHATTAN VALLEY WINES AMP SPRTS'}","{'address': '135 W 106th St; New York, NY 10025', 'score': 0.6, 'name': 'MANHATTAN VALLEY GOLDEN AGE SENIOR CE'}","{'address': '37-27 10th St; Long Island City, NY 11101', 'score': 0.57, 'name': ' MANHATTAN COMPANY OF NEW YORK'}","{'address': '813 43rd Rd; Long Island City, NY 11101', 'score': 0.55, 'name': 'MANHATTAN DEMOLITION CO '}",{},{},{}
29,A1865,MOSHOLU PRESERVATION,"{'address': '75 E 208th St; Bronx, NY 10467', 'score': 0.89, 'name': 'MOSHOLU PRESERVATION CORP'}","{'address': '3400 Reservoir Oval E; Bronx, NY 10467', 'score': 0.89, 'name': 'MOSHOLU PRESERVATION CORP'}","{'address': '135 E 57th St; New York, NY 10022', 'score': 0.63, 'name': 'PRESERVATION GROUP'}","{'address': '149 E Mosholu Pkwy N; Bronx, NY 10467', 'score': 0.55, 'name': ' MOSHOLU PARKWAY JHS'}",{},{},{},{},{},{}
30,RR2845,RESEARCH FOUNDATION OF CUNY CUNY NY COLLEGE OF TECHNOLOGY,"{'address': '12266 Flatlands Ave; Brooklyn, NY 11207', 'score': 0.59, 'name': ' RESEARCH FOUNDATION CUNY'}",{},{},{},{},{},{},{},{},{}
31,DI425,JASA VAN CORTLANDT VILLAGE SENIOR CENTER,"{'address': '161 Corbin Pl #STE 3; Brooklyn, NY 11235', 'score': 0.45, 'name': 'JASAJEWISH ASSN FOR SVCAGED'}",{},{},{},{},{},{},{},{},{}
32,DI2374,PROJECT REACH,"{'address': '577 Columbus Ave; New York, NY 10024', 'score': 0.87, 'name': 'PROJECT REACH OUT'}","{'address': '199 14th St #3; Brooklyn, NY 11215', 'score': 0.79, 'name': 'PROJECT REACH YOUTH '}","{'address': '39 Eldridge St; New York, NY 10002', 'score': 0.72, 'name': 'PROJECT REACH CHINATOWN'}",{},{},{},{},{},{},{}
33,RR7093,CODE FOUNDATION,{},{},{},{},{},{},{},{},{},{}
34,A3323,URBAN PATHWAYS,"{'address': '1974 Hughes Ave; Bronx, NY 10457', 'score': 1.0, 'name': 'URBAN PATHWAYS'}","{'address': '2646 2nd St; Astoria, NY 11102', 'score': 1.0, 'name': 'URBAN PATHWAYS'}","{'address': '274 W 40th St; New York, NY 10018', 'score': 0.97, 'name': 'URBAN PATHWAYS '}","{'address': '575 8th Ave Rm #900; New York, NY 10018', 'score': 0.97, 'name': 'URBAN PATHWAYS '}","{'address': '459 W 46th St; New York, NY 10036', 'score': 0.97, 'name': 'URBAN PATHWAYS '}","{'address': '902 Amsterdam Ave; New York, NY 10025', 'score': 0.97, 'name': 'URBAN PATHWAYS '}",{},{},{},{}
35,DI338,ARTURO SCHOMBURG SENIOR CENTER,"{'address': '1309 5th Ave; New York, NY 10029', 'score': 0.56, 'name': 'SCHOMBURG RESIDENTS COUNCIL'}",{},{},{},{},{},{},{},{},{}
36,A707,COMMUNITY EDUCATION RESOURCE CENTER CERC,"{'address': '4023 Richmond Ave; Staten Island, NY 10312', 'score': 0.61, 'name': 'COMMUNITY RESOURCES'}","{'address': '3651 Richmond Rd; Staten Island, NY 10306', 'score': 0.61, 'name': 'COMMUNITY RESOURCES'}",{},{},{},{},{},{},{},{}
37,DI2022,COUNCIL ON JEWISH MIGR COMMUNITY ORGANIZATION,"{'address': '255 E 49th St; New York, NY 10017', 'score': 0.62, 'name': 'COUNCIL ON CULTURE AMP COMMUNITY'}","{'address': '58 E 68th St; New York, NY 10065', 'score': 0.6, 'name': 'COUNCIL ON FOREIGN RELATIONS'}","{'address': '345 E 46th St; New York, NY 10017', 'score': 0.54, 'name': 'COUNCIL OF EUROPEAN UNION'}","{'address': '6802 Metropolitan Ave; Middle Village, NY 11379', 'score': 0.48, 'name': 'CNL COUNCIL ON NATIONAL LITERATURES'}","{'address': '13618 39th Ave; Flushing, NY 11354', 'score': 0.41, 'name': 'CHINESE AMERICAN PLANNING COUNCIL'}","{'address': '11 Penn Plz; New York, NY 10001', 'score': 0.38, 'name': 'NEW YORK ENERGY CONSUMER COUNCIL '}",{},{},{},{}
38,DI3338,PARK WEST NEIGHBORHOOD HISTORY GROUP,"{'address': '2828 W 28th St; Brooklyn, NY 11224', 'score': 0.45, 'name': 'SEA PARK EAST AMP SEA PARK WEST HOUSES '}","{'address': '1605 Fulton Ave; Bronx, NY 10457', 'score': 0.45, 'name': 'CROTONA PARK WEST HDSC'}","{'address': '360 Ford St; Bronx, NY 10457', 'score': 0.44, 'name': 'TWIN PARKS WEST CONSOLIDATED'}","{'address': '477 Central Park W; New York, NY 10025', 'score': 0.31, 'name': '477 CENTRAL AVENUE PARK WEST'}",{},{},{},{},{},{}
39,A2970,SUTTON AREA COMMUNITY,"{'address': '201 Dekalb Ave; Brooklyn, NY 11205', 'score': 0.69, 'name': 'PRATT AREA COMMUNITY COUNCIL'}","{'address': '25 Spencer Pl; Brooklyn, NY 11216', 'score': 0.69, 'name': 'PRATT AREA COMMUNITY COUNCIL'}",{},{},{},{},{},{},{},{}
40,DI1150,FROG AND PEACH THEATER,"{'address': '1538 3rd Ave; New York, NY 10028', 'score': 0.45, 'name': 'AMC ATERS'}","{'address': '307 W 26th St; New York, NY 10001', 'score': 0.37, 'name': 'UPRIGHT CITIZENS BRIGADE ATRE CHELSEA'}",{},{},{},{},{},{},{},{}
41,Y381,RAVENSWOOD COMMUNITY,"{'address': '3535 21st St #2F; Astoria, NY 11106', 'score': 0.55, 'name': 'RAVENSWOOD RESIDENT ASSOCIATES '}","{'address': '125 Brighton Beach Ave; Brooklyn, NY 11235', 'score': 0.53, 'name': 'RUSSIAN COMMUNITY LIFE CENTER'}","{'address': '1931 Mott Ave #STE 311; Far Rockaway, NY 11691', 'score': 0.52, 'name': 'NEW YORK CITY COMMUNITY BOARDS'}",{},{},{},{},{},{},{}
42,DI2543,MT CARMEL YOUTH DEVELOPMENT,"{'address': '12501 Queens Blvd; Kew Gardens, NY 11415', 'score': 0.69, 'name': 'QUEENS COUNTY YOUTH DEVELOPMENT'}","{'address': '181 Forbell St; Brooklyn, NY 11208', 'score': 0.47, 'name': 'BANGLADESHI AMERICAN COMMUNITY DEVELO'}",{},{},{},{},{},{},{},{}
43,RR8025,FILM BIZ RECYCLING,"{'address': '4326 12th St; Long Island City, NY 11101', 'score': 1.0, 'name': 'FILM BIZ RECYCLING'}","{'address': '540 President St #STE BA; Brooklyn, NY 11215', 'score': 1.0, 'name': 'FILM BIZ RECYCLING'}",{},{},{},{},{},{},{},{}
44,A336,BETHANY LUTHERAN CHURCH,"{'address': '4810 91st Pl; Elmhurst, NY 11373', 'score': 0.93, 'name': 'BETHANY LURAN CHURCH'}","{'address': '233 Westcott Blvd; Staten Island, NY 10314', 'score': 0.81, 'name': 'BETHANY LURAN BRETHREN CHURCH'}",{},{},{},{},{},{},{},{}
45,DI1458,JASA WHITESTONE HEBREW CENTERSENIOR PROGRAM,"{'address': '120 W 76th St; New York, NY 10023', 'score': 0.56, 'name': 'JASA WEST SIDE SENIOR CENTER'}","{'address': '1540 Van Siclen Ave; Brooklyn, NY 11239', 'score': 0.54, 'name': 'JASA STARRETT SENIOR CTR'}","{'address': '202 Graham Ave; Brooklyn, NY 11206', 'score': 0.54, 'name': 'JASA WILLIAMSBURG SENIOR CTR'}","{'address': '2705 Schley Ave; Bronx, NY 10465', 'score': 0.52, 'name': 'JASATHROGS NECK SENIOR CTR'}","{'address': '9502 Seaview Ave; Brooklyn, NY 11236', 'score': 0.52, 'name': 'JASA BAYVIEW SENIOR CTR'}","{'address': '1925 Seagirt Blvd; Far Rockaway, NY 11691', 'score': 0.45, 'name': 'JASA ISRAEL SR CITIZENS'}",{},{},{},{}
46,DI3953,SAMUEL FIELD YMHA BUSES,"{'address': '4635 Oceania St; Bayside, NY 11361', 'score': 0.72, 'name': 'SAMUEL FIELD YM AMP YMHA'}","{'address': '27 Bascom Pl; Staten Island, NY 10314', 'score': 0.36, 'name': 'PERSONAL TOUCH LIMOUSINES SEDANS AMP P'}",{},{},{},{},{},{},{},{}
47,RR8672,SALAM ARABIC LUTHERAN CHURCH,"{'address': '414 80th St; Brooklyn, NY 11209', 'score': 0.94, 'name': 'SALAM ARABIC LURAN CHURCH'}",{},{},{},{},{},{},{},{},{}
48,DI687,BROWNSVILLE SENIOR CENTER,"{'address': '720 Nereid Ave; Bronx, NY 10466', 'score': 0.74, 'name': 'RAIN SENIOR CENTER'}","{'address': '3033 Middletown Rd; Bronx, NY 10461', 'score': 0.7, 'name': 'RAIN MIDDLETOWN SENIOR CENTER'}","{'address': '10302 101st Ave; Ozone Park, NY 11416', 'score': 0.69, 'name': 'OZONE PARK SENIOR CENTER'}","{'address': '2405 E Tremont Ave; Bronx, NY 10461', 'score': 0.64, 'name': 'RAIN EAST TREMONT SENIOR CENTER'}",{},{},{},{},{},{}
49,DI2450,YOUNGS SPORTS CENTER,"{'address': 'Sport Spa 836 Ave Of The Americas 5fl New York Ny #10001; New York, NY 10036', 'score': 0.59, 'name': 'FOREVER YOUNG SPORTS SPA'}","{'address': '1515 Broadway Fl #11TH; New York, NY 10036', 'score': 0.59, 'name': 'FOREVER YOUNG SPORTS SPA'}","{'address': '251 5th Ave #3; New York, NY 10016', 'score': 0.56, 'name': 'FOREVER YOUNG SPORT SPA'}","{'address': '836 Ave Of The Americas; New York, NY 10001', 'score': 0.56, 'name': 'FOREVER YOUNG SPORT SPA'}","{'address': '171 W 29th St; New York, NY 10001', 'score': 0.56, 'name': 'FOREVER YOUNG SPORT SPA'}","{'address': '215 E 95th St; New York, NY 10128', 'score': 0.56, 'name': 'YOUNG ESTELLE MD'}",{},{},{},{}
50,DI4471,FINANCIAL LITERACY,"{'address': '188 Madison Ave; New York, NY 10016', 'score': 0.68, 'name': 'FINANCIAL LITERACY CENTRAL SIBLNYPL'}","{'address': '1 State St 21st Floor; New York, NY 10004', 'score': 0.59, 'name': 'GLOBAL FINANCIAL SERVICES '}","{'address': '1270 Ave Of The Americas Fl #11; New York, NY 10020', 'score': 0.32, 'name': 'MILLBURN CORP'}",{},{},{},{},{},{},{}
51,DI726,NY STATE DEFENDERS ASSOCIATION IMMIGRANT DEFENSE PROJECT,"{'address': '28 W 39th St Rm #500; New York, NY 10018', 'score': 0.62, 'name': 'IMMIGRANT DEFENSE PROJECT'}","{'address': '305 Broadway; New York, NY 10007', 'score': 0.4, 'name': 'NEIGHBORHOOD DEFENDERS SERVICE'}","{'address': '860 Courtlandt Ave; Bronx, NY 10451', 'score': 0.31, 'name': 'BRONX DEFENDERS'}",{},{},{},{},{},{},{}
52,A2373,PARODNECK FOUNDATION FOR SELFHELP HOUSING AND COMMUNITY DEVELOPMENT,"{'address': '119 W 24th St; New York, NY 10011', 'score': 0.41, 'name': 'STONEWALL COMMUNITY FOUNDATION'}","{'address': '140 W End Ave #APT 17G; New York, NY 10023', 'score': 0.35, 'name': 'GUINEA DEVELOPMENT FOUNDATION '}",{},{},{},{},{},{},{},{}
53,A833,CYPRECO OF AMERICA,"{'address': '183 Quaker Rd; Queensbury, NY 12804', 'score': 0.67, 'name': 'BANK OF AMERICA'}","{'address': '4061 Broadway; New York, NY 10032', 'score': 0.67, 'name': 'BANK OF AMERICA'}","{'address': '65 Metropolitan Oval; Bronx, NY 10462', 'score': 0.67, 'name': 'BANK OF AMERICA'}",{},{},{},{},{},{},{}
54,RR8221,JOAN MILLER AND CHAMBER ARTS DANCE PLA,"{'address': '246 W 38th St; New York, NY 10018', 'score': 0.51, 'name': 'CHAMBER DANCE PROJECT'}",{},{},{},{},{},{},{},{},{}
55,DI1740,PUBLIC SCHOOL 92M MARY MCLEOD BETHUNE,"{'address': '222 W 134th St; New York, NY 10030', 'score': 0.65, 'name': 'NYC DOE MARY MCLEOD BETHUNE PS 92M'}",{},{},{},{},{},{},{},{},{}
56,DI78,PUBLIC SCHOOL 77,"{'address': '300 Adelphi St; Brooklyn, NY 11205', 'score': 1.0, 'name': 'PUBLIC SCHOOL 77'}","{'address': '4211 14th Ave; Brooklyn, NY 11219', 'score': 1.0, 'name': 'PUBLIC SCHOOL 77'}",{},{},{},{},{},{},{},{}
57,Y460,ASIAN AMERICANS FOR EQUALITY,"{'address': '108 Norfolk St Frnt #1; New York, NY 10002', 'score': 1.0, 'name': 'ASIAN AMERICANS FOR EQUALITY'}","{'address': '3534 Union St; Flushing, NY 11354', 'score': 0.98, 'name': 'ASIAN AMERICAN FOR EQUALITY'}","{'address': '2 Allen St; New York, NY 10002', 'score': 0.98, 'name': 'ASIAN AMERICAN FOR EQUALITY'}","{'address': '3901 Main St #STE 511; Flushing, NY 11354', 'score': 0.96, 'name': 'ASIAN AMERICAN FOR EQUALITY '}","{'address': '13304 39th Ave; Flushing, NY 11354', 'score': 0.96, 'name': 'ASIAN AMERICAN FOR EQUALITY '}","{'address': '133 39th Ave; Woodside, NY 11377', 'score': 0.88, 'name': 'ASIAN AMERICAN EQUALITY '}",{},{},{},{}
58,N401,MESIVTHA TIFERETH JERUSALEM,"{'address': '1870 Drumgoole Rd E; Staten Island, NY 10309', 'score': 1.0, 'name': 'MESIVTHA TIFERETH JERUSALEM'}","{'address': '145 E Broadway; New York, NY 10002', 'score': 0.83, 'name': 'MESIVTHA TIFERETH JERUSALEM OF AMERICA'}",{},{},{},{},{},{},{},{}
59,RR8750,ST BARNABAS EPISCOPAL CHURCH,"{'address': '417 Elton St; Brooklyn, NY 11208', 'score': 1.0, 'name': 'ST BARNABAS EPISCOPAL CHURCH'}",{},{},{},{},{},{},{},{},{}
60,DI2216,PUERTO RICAN STUDIES INSTITUTEHUNTER COLLEGE,"{'address': '75 Varick St #STE 12; New York, NY 10013', 'score': 0.51, 'name': 'LANGUAGE STUDIES INTERNATIONAL'}","{'address': '60 Nagle Ave; New York, NY 10040', 'score': 0.39, 'name': 'INSTITUTE FOR  PUERTO RICAN'}","{'address': '215 E 6th St; New York, NY 10003', 'score': 0.39, 'name': 'SCHOOL OF UKRAINIAN STUDIES'}","{'address': '532 Neptune Ave; Brooklyn, NY 11224', 'score': 0.37, 'name': 'TOURO COLLEGE NEW YORK SCHOOL OF CARE'}",{},{},{},{},{},{}
61,DI2971,PS 18,"{'address': '4124 9th Ave; New York, NY 10034', 'score': 0.36, 'name': 'PS 18 ELEMENTARY SCHOOL'}","{'address': '8635 235th Ct; Queens Village, NY 11427', 'score': 0.34, 'name': 'WHESTER PUBLIC SCHOOL 18'}","{'address': '221 Broadway; Staten Island, NY 10310', 'score': 0.31, 'name': 'ELEMENTARY PUBLIC SCHOOL 18'}",{},{},{},{},{},{},{}
62,DI2196,GODDARD RIVERSIDE COMMUNITY CENTER WEST SIDE SRO LAW PROJECT,{},{},{},{},{},{},{},{},{},{}
63,A546,CENTRAL BROOKLYN ECONOMIC DEVELOPMENT,"{'address': '2001 Oriental Blvd; Brooklyn, NY 11235', 'score': 0.88, 'name': 'BROOKLYN ECONOMIC DEVELOPMENT'}","{'address': '209 Joralemon St; Brooklyn, NY 11201', 'score': 0.82, 'name': 'BROOKLYN ECONOMIC DEVELOPMENT CORP'}","{'address': '16 Ct St #1620; Brooklyn, NY 11241', 'score': 0.52, 'name': 'BROOKLYN TRANSPORTATION DEPT'}",{},{},{},{},{},{},{}
64,RR7583,A FORUM FOR LIFE,"{'address': '216 Wakeman Pl; Brooklyn, NY 11220', 'score': 0.97, 'name': 'A FORUM FOR LIFE '}","{'address': '9524 37th Ave; Jackson Heights, NY 11372', 'score': 0.43, 'name': 'INSURANCE BROKERAGE FORUM CORP'}",{},{},{},{},{},{},{},{}
65,175,CROSSROADS UNLIMITED,"{'address': '131 Frst Ave; Staten Island, NY 10301', 'score': 1.0, 'name': 'CROSSROADS UNLIMITED'}","{'address': '1207 Castleton Ave #STE 4; Staten Island, NY 10310', 'score': 0.98, 'name': 'CROSSROADS UNLIMITED '}",{},{},{},{},{},{},{},{}
66,DI4405,BRONX GREEN MIDDLE SCHOOL,"{'address': '2441 Wallace Ave; Bronx, NY 10467', 'score': 1.0, 'name': 'BRONX GREEN MIDDLE SCHOOL'}","{'address': '2111 Crotona Ave; Bronx, NY 10457', 'score': 0.79, 'name': 'BRONX MIDDLE SCHOOL 273'}","{'address': '3750 Baychester Ave; Bronx, NY 10466', 'score': 0.79, 'name': 'BRONX ALLIANCE MIDDLE SCHOOL'}","{'address': '800 Home St; Bronx, NY 10456', 'score': 0.78, 'name': 'BRONX LATIN MIDDLE SCHOOL 267'}",{},{},{},{},{},{}
67,A2586,REEVES DRAKEFORD EDUCATIONAL AND RECREATIONAL ASSOCIATION,{},{},{},{},{},{},{},{},{},{}
68,DI3850,CAROUSEL DAYCARE,"{'address': '2070 Grand Concourse; Bronx, NY 10457', 'score': 0.82, 'name': ' KIDS CAROUSEL DAY CARE'}","{'address': '150 Clermont Ave; Brooklyn, NY 11205', 'score': 0.57, 'name': 'CAROUSEL CHILDREN S CENTER'}",{},{},{},{},{},{},{},{}
