ID,Facility,lat,lon,Type,capacity,category,community
149,Northwestern Memorial Hospital,41.89464,-87.621127,2,200000,Hospitals,8
150,Norwegian American Hospital,41.900729,-87.699359,2,154000,Hospitals,24
151,Oak Park Hospital,41.878587,-87.803373,2,191000,Hospitals,0
152,Presence - Our Lady of the Resurrection Medical Center,41.945427,-87.767731,2,184000,Hospitals,15
153,Presence - Resurrection Medical Center,41.987827,-87.81437,2,152000,Hospitals,10
154,Presence - Saint Joseph Hospital,41.933769,-87.637225,2,115000,Hospitals,6
155,Presence - Saints Mary and Elizabeth Medical Center-Saint Elizabeth Campus,41.907605,-87.685474,2,126000,Hospitals,24
156,Presence - Saints Mary and Elizabeth Medical Center-Saint Mary Campus,41.902679,-87.683567,2,117000,Hospitals,24
157,Presence - St. Francis Hospital,42.02465,-87.684407,2,131000,Hospitals,0
158,Provident Hospital of Cook County,41.802489,-87.613566,2,134000,Hospitals,38
159,Rehabilitation Institute of Chicago,41.895437,-87.618317,2,174000,Hospitals,8
160,RML Specialty Hospital,41.874913,-87.712308,2,102000,Hospitals,27
161,Roseland Community Hospital,41.6922,-87.625272,2,181000,Hospitals,49
162,Rush University Medical Center,41.874886,-87.669124,2,137000,Hospitals,28
163,Schwab Rehabilitation Hospital,41.861013,-87.695512,2,154000,Hospitals,29
164,Shriners Hospital for Children,41.919884,-87.793337,2,111000,Hospitals,18
165,South Shore Hospital,41.749438,-87.569077,2,138000,Hospitals,46
166,St. Anthony Hospital,41.855193,-87.698001,2,100000,Hospitals,30
167,St. Bernard Hospital and Health Care Center,41.778682,-87.632918,2,195000,Hospitals,68
168,St. Francis Hospital & Health Center,41.658019,-87.677373,2,104000,Hospitals,0
169,Swedish Covenant Hospital,41.975375,-87.699623,2,117000,Hospitals,4
170,Thorek Hospital and Medical Center,41.954734,-87.651524,2,192000,Hospitals,3
171,University of Chicago Medical Center,41.788313,-87.604566,2,129000,Hospitals,41
172,University of Illinois Hospital and Health Sciences System,41.869374,-87.670514,2,196000,Hospitals,28
173,Weiss Memorial Hospital,41.966432,-87.649356,2,126000,Hospitals,3
174,West Suburban Hospital & Medical Center,41.891372,-87.776114,2,152000,Hospitals,0
175,Mercy Family - Clinic at Archer Courts,41.852812,-87.634843,5,170000,Other Health Providers,34
176,ACCESS Gary Comer Youth Center,41.764069,-87.602436,4,183000,School-Based Health Centers,69
177,Advocate - Kilmer-Sullivan High School,42.002303,-87.669269,4,173000,School-Based Health Centers,1
178,Alivio Medical Center - Jose Clemente Orozco Academy,41.855858,-87.674484,4,138000,School-Based Health Centers,31
179,Alivio Medical Center - Little Village/Lawndale High School Based Health Center,41.835048,-87.734989,4,141000,School-Based Health Centers,30
180,Alivio Medical Center-Juarez High School,41.853725,-87.663656,4,184000,School-Based Health Centers,31
181,Circle Family Health Care Network - Austin Community Academy,41.885139,-87.762695,4,190000,School-Based Health Centers,25
182,Erie Family Health Center - Lake View High School,41.954965,-87.668647,4,110000,School-Based Health Centers,6
183,Erie Family Health Center - - Johnson School,41.861114,-87.703163,4,140000,School-Based Health Centers,29
184,Erie Family Health Center - Amundsen High School,41.975149,-87.679997,4,124000,School-Based Health Centers,4
185,Erie Family Health Center - Clemente High School,41.902617,-87.686129,4,171000,School-Based Health Centers,24
186,Erie Family Health Center - Laura Ward School,41.893116,-87.718854,4,119000,School-Based Health Centers,23
187,Esperanza - Marquette Elementary School,41.774501,-87.697214,4,180000,School-Based Health Centers,66
188,Friend Family - Beethoven School,41.808279,-87.627175,4,101000,School-Based Health Centers,38
189,Heartland Health Centers - Hibbard Elementary School,41.970835,-87.71023,4,199000,School-Based Health Centers,14
190,Heartland Health Centers - Roosevelt High School,41.965039,-87.714491,4,130000,School-Based Health Centers,14
191,Heartland Health Centers - Senn High School,41.989017,-87.666424,4,200000,School-Based Health Centers,77
192,Heartland Health Centers - Uplift School,41.965988,-87.652189,4,152000,School-Based Health Centers,3
194,Mercy - Dunbar Vocational High School,41.840527,-87.617244,4,125000,School-Based Health Centers,35
195,Mercy - Phillips Academy,41.823806,-87.619944,4,115000,School-Based Health Centers,35
196,Near North - Reavis School Based Health Center,41.80433,-87.605137,4,155000,School-Based Health Centers,39
197,PrimeCare - Hamlin,41.916349,-87.722329,4,109000,School-Based Health Centers,22
198,Rush - Crane Technical Preparatory School,41.877267,-87.683238,4,198000,School-Based Health Centers,28
199,Rush - Orr Elementary School,41.894171,-87.726049,4,119000,School-Based Health Centers,23
200,Rush - Simpson School,41.864614,-87.668356,4,192000,School-Based Health Centers,28
201,TCA - Carver Military Academy,41.656346,-87.589774,4,192000,School-Based Health Centers,54
202,UIC - Mile Square - Davis School,41.821763,-87.70102,4,163000,School-Based Health Centers,58
203,UIC - Mile Square - Hope Institute,41.883751,-87.667918,4,193000,School-Based Health Centers,28
204,UIC - Mile Square - National Teachers Academy,41.852602,-87.629235,4,145000,School-Based Health Centers,33
205,UIC - Mile Square - Young Women's Leadership Charter School,41.844418,-87.618482,4,123000,School-Based Health Centers,35
206,UIC- Mile Square- Auburn Gresham,41.746031,-87.652059,4,120000,School-Based Health Centers,71
