,ein,ID.org,name,city,DOS ID,Current Entity Name,date,processed_name,match_rate,good_match
4734,133904262.0,RR4805,FLEA THEATER,NEW YORK,5041.0,"THE FLEA THEATER, INC.",7/30/96,FLEA THEATER,1.0,1.0
4736,300054207.0,RR4807,SOUTHEAST QUEENS OLYMPIC COMMITTEE,,4383.0,"SOUTHEAST QUEENS OLYMPIC COMMITTEE, INC.",4/16/01,SOUTHEAST QUEENS OLYMPIC COMMITTEE,1.0,1.0
4738,134102260.0,RR4813,HAZEL INCORPORATED,,2274.0,HAZEL INCORPORATED,11/22/99,HAZEL INCORPORATED,1.0,1.0
4739,,RR4816,CENTRAL PK HIST FIELDTRIP,,942.0,"CENTRAL PARK HISTORICAL FIELD TRIPS, INC.",9/27/74,CENTRAL PK HIST FIELDTRIP,0.833333333,1.0
4743,61756910.0,RR4822,EAST 86TH STREET MERCHANTS AND RESIDENTS ASSOCIATION,,1569.0,EAST 86TH STREET MERCHANTS/RESIDENTS ASSOCIATION INC.,6/15/05,EAST 86 TH STREET MERCHANTS AND RESIDENTS ASSOCIATION,0.9607843140000001,1.0
4744,113361008.0,RR4825,NY COUNTY DEFENDER SERVICES,LYNBROOK,3371.0,NEW YORK COUNTY DEFENDER SERVICES INC.,2/10/97,NY COUNTY DEFENDER SERVICES,0.9,1.0
4745,133601854.0,RR4827,METROTECH AREA DISTRICT MANAGEMENT ASSOCIATION,BROOKLYN,3051.0,"METROTECH AREA DISTRICT MANAGEMENT ASSOCIATION, INC.",6/18/90,METROTECH AREA DISTRICT MANAGEMENT ASSOCIATION,1.0,1.0
4747,134136312.0,RR4834,YOUNG ISRAEL SENIOR SERVICES,,6161.0,"YOUNG ISRAEL SENIOR SERVICES, INC.",9/6/00,YOUNG ISRAEL SENIOR SERVICES,1.0,1.0
4752,61581012.0,RR4848,CHABAD LUBAVITCH TORAH EDUCATION SERVICES,,965.0,CHABAD LUBAVITCH TORAH EDUCATIONAL SERVICES INC.,6/14/00,CHABAD LUBAVITCH TORAH EDUCATION SERVICES,0.976190476,1.0
4753,113317234.0,RR4853,ACCION USA,BROOKLYN,85.0,"ACCION EAST, INC.",1/30/96,ACCION USA,0.761904762,1.0
4756,237089380.0,RR4862,PALLADIA,NEW YORK,3618.0,"PALLADIA, INC.",7/21/71,PALLADIA,1.0,1.0
4757,112903423.0,RR4865,CARIBBEAN AMERICAN CHAMBER OF COMMERCE AND INDUSTRY,,846.0,CARIBBEAN/AMERICAN CHAMBER OF COMMERCE & INDUSTRY INC.,8/13/85,CARIBBEAN AMERICAN CHAMBER OF COMMERCE AND INDUSTRY,0.959183673,1.0
4758,132943389.0,RR4867,RICHMOND ENGINE 1,,4023.0,RICHMOND ENGINE COMPANY NO. 1 OF RICHMOND,4/29/05,RICHMOND ENGINE 1,0.6938775509999999,1.0
4762,133877808.0,RR4873,MOSHOLU JEROME EAST GUNHILL ROAD DISTRICT,BRONX,3139.0,"MOSHOLU-JEROME-EAST GUN HILL ROAD DISTRICT MANAGEMENT ASSOCIATION, INC.",8/30/96,MOSHOLU JEROME EAST GUNHILL ROAD DISTRICT,0.773584906,1.0
4765,134195889.0,RR4881,SONGS OF SOLOMON AN INSPIRATIONAL ENSEMBLE,,4351.0,SONGS OF SOLOMON:AN INSPIRATIONAL ENSEMBLE INC.,10/29/01,SONGS OF SOLOMON AN INSPIRATIONAL ENSEMBLE,1.0,1.0
4770,,RR4906,FORDHAM TREMONT COMMUNITY MENTAL HEALTH CENTER OF ST BARNABAS HOSPITAL,,1969.0,FRIENDS OF FORDHAM-TREMONT COMMUNITY MENTAL HEALTH CENTER,12/16/86,FORDHAM TREMONT COMMUNITY MENTAL HEALTH CENTER OF ST BARNABAS HOSPITAL,0.724409449,1.0
4771,113040303.0,RR4908,BHRAGS HOUSEKEEPING,BROOKLYN,551.0,"BHRAGS HOUSEKEEPING, INC.",1/7/91,BHRAGS HOUSEKEEPING,1.0,1.0
4773,,RR4912,KIPP STAR CHARTER SCHOOL,,1982.0,"FRIENDS OF KIPP S.T.A.R. COLLEGE PREP CHARTER SCHOOL, INC.",12/12/02,KIPP STAR CHARTER SCHOOL,0.64,1.0
4786,112516283.0,RR5371,CENTRAL PARK MEDICAL UNIT,NEW YORK,943.0,"CENTRAL PARK MEDICAL UNIT, INC.",8/22/79,CENTRAL PARK MEDICAL UNIT,1.0,1.0
4788,133074369.0,RR5430,CITY ISLAND COMMUNITY CENTER,BRONX,1122.0,"CITY ISLAND COMMUNITY CENTER, INC.",8/9/77,CITY ISLAND COMMUNITY CENTER,1.0,1.0
4704,800010627.0,RR4723,MUSLIM WOMENS INSTITUTE FOR RESEARCH AND DEVELOPMENT MWIRD,,3181.0,MUSLIM WOMEN'S INSTITUTE FOR RESEARCH AND DEVELOPMENT,8/8/02,MUSLIM WOMENS INSTITUTE FOR RESEARCH AND DEVELOPMENT MWIRD,0.936936937,1.0
4702,,RR4714,KIDS CARE JUNIOR ASSOCIATION,,2699.0,"KIDZ CARE JUNIOR CIVIC ASSOCIATION, INC.",5/11/04,KIDS CARE JUNIOR ASSOCIATION,0.870967742,1.0
4697,116105321.0,RR4703,KEW GARDENS HILLS COMMUNITY FOUNDATION,,2685.0,"KEW GARDENS HILLS COMMUNITY FOUNDATION, INC.",2/3/04,KEW GARDENS HILLS COMMUNITY FOUNDATION,1.0,1.0
4694,,RR4700,FIGHTERS INSTITUTE FOR SUPPORT AND TRAINING,,1832.0,"F.I.S.T.-FIGHTERS INSTITUTE FOR SUPPORT AND TRAINING, INC.",9/12/02,FIGHTERS INSTITUTE FOR SUPPORT AND TRAINING,0.914893617,1.0
4630,201510898.0,RR4536,FOUNDATION FOR JEWISH BROADCASTING,,1908.0,"FOUNDATION FOR JEWISH BROADCASTING, INC.",3/14/02,FOUNDATION FOR JEWISH BROADCASTING,1.0,1.0
4632,,RR4540,BROOKLYN COLLEGE FOUNDATION RETIREES IN PURSUIT OF EDUC,,707.0,"BROOKLYN COLLEGE FOUNDATION, INC.",12/17/58,BROOKLYN COLLEGE FOUNDATION RETIREES IN PURSUIT OF EDUC,0.658536585,1.0
4634,753032931.0,RR4546,PDM PERFORMING ARTS,,3679.0,PDM PERFORMING ARTS CORPORATION,7/2/03,PDM PERFORMING ARTS,1.0,1.0
4637,132613958.0,RR4550,LEGAL SERVICES NY MANHATTAN LEGAL SERVICES,NEW YORK,3470.0,NORTHERN MANHATTAN LEGAL SERVICES CORPORATION,10/30/95,LEGAL SERVICES NY MANHATTAN LEGAL SERVICES,0.7466666670000001,1.0
4638,113241916.0,RR4552,HAITIAN ENLIGHTENMENT LITERACY PROJECT,BROOKLYN,2196.0,"HAITIAN ENLIGHTENMENT AND LITERACY PROJECT, INC.",8/19/94,HAITIAN ENLIGHTENMENT LITERACY PROJECT,0.95,1.0
4640,133266893.0,RR4554,PREGONES TOURING PUERTO RICAN THEATER COLLECTION,BRONX,3776.0,"PREGONES - TOURING PUERTO RICAN THEATRE COLLECTION, INC.",3/29/85,PREGONES TOURING PUERTO RICAN THEATER COLLECTION,0.979166667,1.0
4642,208562533.0,RR4563,CONEY ISLAND GENERATION GAP REUNION COMMITTEE,,1308.0,"CONEY ISLAND GENERATION GAP REUNION COMMITTEE, CORP.",3/1/07,CONEY ISLAND GENERATION GAP REUNION COMMITTEE,1.0,1.0
4646,113602805.0,RR4567,OUR WORLD NEIGHBORHOOD CS,,3599.0,"OUR WORLD NEIGHBORHOOD FUNDRAISING, INC.",11/2/00,OUR WORLD NEIGHBORHOOD CS,0.813559322,1.0
4648,116036253.0,RR4574,BNAI BRITH HILLEL FOUNDATION AT BROOKLYN COLLEGE,BROOKLYN,587.0,"B'NAI B'RITH HILLEL FOUNDATION, INC. AT BROOKLYN COLLEGE",1/15/47,BNAI BRITH HILLEL FOUNDATION AT BROOKLYN COLLEGE,0.9795918370000001,1.0
4652,760795334.0,RR4580,BLACK EQUITY ALLIANCE OF NEW Y ORK CITY,,576.0,"BLACK EQUITY ALLIANCE OF NEW YORK CITY, INC.",10/2/03,BLACK EQUITY ALLIANCE OF NEW Y ORK CITY,0.9870129870000001,1.0
4654,205323707.0,RR4584,DOWNTOWN BROOKLYN PARTNERSHIP,,1535.0,"DOWNTOWN BROOKLYN PARTNERSHIP, INC.",8/2/06,DOWNTOWN BROOKLYN PARTNERSHIP,1.0,1.0
4657,111753577.0,RR4587,WATCHTOWER BIBLE AND TRACT,BROOKLYN,5974.0,"WATCHTOWER FOUNDATION, INC.",4/12/02,WATCHTOWER BIBLE AND TRACT,0.595744681,1.0
4660,,RR4602,MORNINGSIDE CENTER FOR TEACHING,,3119.0,"MORNINGSIDE CENTER FOR TEACHING SOCIAL RESPONSIBILITY, INC.",6/3/82,MORNINGSIDE CENTER FOR TEACHING,0.738095238,1.0
4662,,RR4605,L REFUAH MEDICAL REHAB CENTER,,2912.0,"L'REFUAH MEDICAL & REHABILITATION CENTER, INC.",3/13/00,L REFUAH MEDICAL REHAB CENTER,0.865671642,1.0
4790,133547830.0,RR5609,EDWIN GOULD ACADEMY,CHESTNUT RIDGE,1648.0,EDWIN GOULD ACADEMY,12/1/89,EDWIN GOULD ACADEMY,1.0,1.0
4664,,RR4624,RALPH J SANSONE FOUNDATION,,5452.0,"THE RALPH SANSONE FOUNDATION, INC.",5/2/90,RALPH J SANSONE FOUNDATION,0.96,1.0
4666,132782572.0,RR4633,BETANCES EARLY CHILDHOOD DEVELOPMENT CENTER,BRONX,533.0,BETANCES EARLY CHILDHOOD DEVELOPMENT CENTER,1/27/77,BETANCES EARLY CHILDHOOD DEVELOPMENT CENTER,1.0,1.0
4669,352262561.0,RR4637,ZIMMER CLUB YOUTH CONSERVATION PROGRAM OF STATEN ISLAND,,6195.0,"ZIMMER CLUB YOUTH CONSERVATION PROGRAM OF STATEN ISLAND, INC.",9/29/05,ZIMMER CLUB YOUTH CONSERVATION PROGRAM OF STATEN ISLAND,1.0,1.0
4670,113498674.0,RR4639,BALTIC STREET AEH,,439.0,"BALTIC STREET AEH, INC.",3/3/77,BALTIC STREET AEH,1.0,1.0
4673,113270191.0,RR4642,FUNCTIONAL LIFE ACHIEVEMENT,BALDWIN,2025.0,"FUNCTIONAL LIFE ACHIEVEMENT, INC.",6/8/95,FUNCTIONAL LIFE ACHIEVEMENT,1.0,1.0
4675,132986916.0,RR4655,LITERARY CLASSICS OF US,NEW YORK,5244.0,"THE LITERARY CLASSICS OF THE UNITED STATES, INC.",3/2/79,LITERARY CLASSICS OF US,0.807017544,1.0
4676,133801336.0,RR4658,ASIAN AMERICAN BUSINESS DEVELOPMENT CENTER,NEW YORK,347.0,"ASIAN AMERICAN BUSINESS DEVELOPMENT CENTER, INC.",12/20/94,ASIAN AMERICAN BUSINESS DEVELOPMENT CENTER,1.0,1.0
4677,510500030.0,RR4659,NORTH BRONX YOUTH SPORTS ASSOCIATION IATION,,3447.0,"NORTH BRONX YOUTH SPORTS ASSOCIATION, INC.",2/27/04,NORTH BRONX YOUTH SPORTS ASSOCIATION IATION,0.911392405,1.0
4679,203560375.0,RR4663,STATEN ISLAND NFP ASSOCIATION,,4481.0,"STATEN ISLAND NFP ASSOCIATION, INC.",9/13/05,STATEN ISLAND NFP ASSOCIATION,1.0,1.0
4683,,RR4675,ST VINCENT DE PAUL RESIDENCE,,4602.0,ST. VINCENT DE PAUL RESIDENCE,12/17/90,ST VINCENT DE PAUL RESIDENCE,1.0,1.0
4685,,RR4680,STATE UNIVERSITY OF NY OPTOMETRIC CENTER,,4498.0,"STATE UNIVERSITY OF NEW YORK COLLEGE OF OPTOMETRY SOCIETY, INC.",2/14/02,STATE UNIVERSITY OF NY OPTOMETRIC CENTER,0.701030928,1.0
4687,134069282.0,RR4689,STATEN ISLAND CHAMBER OF COMMERCE FOUNDATION,,5548.0,THE STATEN ISLAND CHAMBER OF COMMERCE FOUNDATION INC.,2/2/99,STATEN ISLAND CHAMBER OF COMMERCE FOUNDATION,1.0,1.0
4688,133909562.0,RR4692,COLUMCILLE CULTURAL CENTER,STATEN ISLAND,1201.0,"COLUMCILLE CULTURAL CENTER, INC.",2/13/97,COLUMCILLE CULTURAL CENTER,1.0,1.0
4689,,RR4693,196 ALBANY AVENUE,,28.0,"196 ALBANY AVENUE DAY CARE CENTER, INC.",1/19/83,196 ALBANY AVENUE,0.68,1.0
4690,133020597.0,RR4694,MIDBRONX COUNCIL,BRONX,3057.0,"MID-BRONX COUNCIL SERVICES, INC.",2/8/80,MIDBRONX COUNCIL,0.761904762,1.0
4665,542144283.0,RR4625,NORTHEAST QUEENS JEWISH COMMUNITY COUNCIL,,3463.0,"NORTHEAST QUEENS JEWISH COMMUNITY COUNCIL, INC.",11/30/92,NORTHEAST QUEENS JEWISH COMMUNITY COUNCIL,1.0,1.0
4793,,RR60,ALLIANCE OF RESIDENT THEATER NY,,184.0,"ALLIANCE OF RESIDENT THEATRES/NEW YORK, INC.",8/22/72,ALLIANCE OF RESIDENT THEATER NY,0.869565217,1.0
4794,,RR6035,LITTLE FLOWER CHILDRENS AND,,2859.0,"LITTLE FLOWER RESIDENCES, INC.",9/29/89,LITTLE FLOWER CHILDRENS AND,0.705882353,1.0
4795,,RR6055,LOWER EASTSIDE GIRLS CLUB OF N EW YORK,,5253.0,"THE LOWER EASTSIDE GIRLS CLUB OF NEW YORK, INC.",3/27/97,LOWER EASTSIDE GIRLS CLUB OF N EW YORK,0.986666667,1.0
4865,582639094.0,RR7041,BROOKLYN BLIZZARDS YOUTH ORGANIZATION,,693.0,"BROOKLYN BLIZZARDS YOUTH ORGANIZATION, INC.",7/26/01,BROOKLYN BLIZZARDS YOUTH ORGANIZATION,1.0,1.0
4867,113305406.0,RR7043,BROOKLYN DEFENDER SERVICES,BROOKLYN,714.0,BROOKLYN DEFENDER SERVICES,3/22/96,BROOKLYN DEFENDER SERVICES,1.0,1.0
4869,770611633.0,RR7045,BROOKLYN PITBULLS YOUTH FOOTBALL,,742.0,"BROOKLYN PITBULLS YOUTH FOOTBALL, INC.",10/21/03,BROOKLYN PITBULLS YOUTH FOOTBALL,1.0,1.0
4870,611591986.0,RR7046,BROOKLYN SCHOLARS CHARTER SCHOOL,,752.0,BROOKLYN SCHOLAR ATHLETES INC.,6/23/15,BROOKLYN SCHOLARS CHARTER SCHOOL,0.736842105,1.0
4872,113553407.0,RR7048,BROWNSVILLE YOUTH ASSOCIATION,,769.0,BROWNSVILLE YOUTH ASSOCIATION (B.Y.A.),6/9/00,BROWNSVILLE YOUTH ASSOCIATION,0.90625,1.0
4873,,RR7049,BRUNO LANE HOMEOWNERS,,771.0,BRUNO LANE HOMEOWNERS ASSOCIATION INC.,5/8/00,BRUNO LANE HOMEOWNERS,0.7777777779999999,1.0
4874,421719612.0,RR7050,BUILDING BLOCS FOUNDATION,,774.0,"BUILDING BLOCS FOUNDATION, INC.",12/19/06,BUILDING BLOCS FOUNDATION,1.0,1.0
4875,112216402.0,RR7053,CABS HOUSEKEEPER SERVICE,BROOKLYN,799.0,"CABS HOUSEKEEPER SERVICE, INC.",12/21/72,CABS HOUSEKEEPER SERVICE,1.0,1.0
4877,134130823.0,RR7055,CAREER BRIDGE FAMILY DAYCARE,,838.0,"CAREER BRIDGE FAMILY DAY CARE NETWORK, INC.",7/21/98,CAREER BRIDGE FAMILY DAYCARE,0.8615384620000001,1.0
4878,133662917.0,RR7056,CAREERS THROUGH CULINARY ARTS,NEW YORK,840.0,"CAREERS THROUGH CULINARY ARTS PROGRAM, INC.",2/10/92,CAREERS THROUGH CULINARY ARTS,0.8787878790000001,1.0
4879,,RR7059,CASA BETSAIDA,,862.0,"CASA BETSAIDA, INC.",7/16/97,CASA BETSAIDA,1.0,1.0
4880,,RR7062,CENTER FOR HEARING AND COMMUNICATION,,908.0,CENTER FOR HEARING AND COMMUNICATION,2/28/12,CENTER FOR HEARING AND COMMUNICATION,1.0,1.0
4884,113602492.0,RR7066,CENTRAL JEWISH COUNCIL,,940.0,CENTRAL JEWISH COUNCIL INC.,5/21/01,CENTRAL JEWISH COUNCIL,1.0,1.0
4885,,RR7067,CENTRO DE EDUCACION DE,,953.0,CENTRO DE EDUCACION DE TRABAJADORES INC.,1/17/79,CENTRO DE EDUCACION DE,0.771929825,1.0
4857,841650571.0,RR7030,BORICUA FESTIVAL COMMITTEE,,601.0,"BORICUA FESTIVAL COMMITTEE, INC.",1/30/01,BORICUA FESTIVAL COMMITTEE,1.0,1.0
4886,113559496.0,RR7068,CENTRO HISPANO CUZCATLAN,,957.0,"CENTRO HISPANO ""CUZCATLAN"", INC.",10/22/98,CENTRO HISPANO CUZCATLAN,1.0,1.0
4890,830440009.0,RR7073,CHILDREN OF PROMISE NY,,1003.0,"CHILDREN OF PROMISE, NYC",5/30/06,CHILDREN OF PROMISE NY,0.977777778,1.0
4892,,RR7077,CHILDRENS LEARNING CENTER AT,,4909.0,"THE CHILDREN'S LEARNING CENTER, INC.",12/13/72,CHILDRENS LEARNING CENTER AT,0.9259259259999999,1.0
4894,134163142.0,RR7080,CHINESE AMERICAN CULTURE AND ARTS ASSOCIATION,,1026.0,CHINESE AMERICAN CULTURAL & ART ASSOCIATION INC.,3/13/01,CHINESE AMERICAN CULTURE AND ARTS ASSOCIATION,0.9302325579999999,1.0
4895,132944124.0,RR7081,CHINESE PROGRESSIVE ASSOCIATIO,NEW YORK,1037.0,"CHINESE PROGRESSIVE ASSOCIATION, INC.",5/17/83,CHINESE PROGRESSIVE ASSOCIATIO,0.983606557,1.0
4897,,RR7085,CHURCH OF ST JOHN,,1061.0,CHURCH OF SAINT JOHN,02/01/1887,CHURCH OF ST JOHN,0.9189189190000001,1.0
4898,113029004.0,RR7086,CINDERELLA DAY CARE CENTER,BROOKLYN,1086.0,"CINDERELLA DAY CARE CENTER, INC.",8/9/90,CINDERELLA DAY CARE CENTER,1.0,1.0
4899,133480517.0,RR7087,CIS COUNSELING CENTER,NEW YORK,1093.0,"CIS COUNSELING CENTER, INC.",8/26/88,CIS COUNSELING CENTER,1.0,1.0
4900,43259160.0,RR7088,CITIZEN SCHOOLS,,1109.0,"CITIZENS SCHOOLS, INC.",1/24/08,CITIZEN SCHOOLS,0.967741935,1.0
4903,383645810.0,RR7092,CLOUD INSTITUTE FOR SUSTAINABILITY EDUCATION,,4933.0,THE CLOUD INSTITUTE FOR SUSTAINABILITY EDUCATION,12/24/01,CLOUD INSTITUTE FOR SUSTAINABILITY EDUCATION,1.0,1.0
4904,113301309.0,RR7093,CODE FOUNDATION,BROOKLYN,4937.0,"THE CODE FOUNDATION, INC.",3/12/96,CODE FOUNDATION,1.0,1.0
4906,43632080.0,RR7095,COMMUNITY HEALTH SUPPORT,,1248.0,"COMMUNITY HEALTH SUPPORT, INC.",3/29/02,COMMUNITY HEALTH SUPPORT,1.0,1.0
4909,204976317.0,RR7098,CONCRETE SAFARIS,,1305.0,CONCRETE SAFARIS INC.,6/9/06,CONCRETE SAFARIS,1.0,1.0
4916,900392858.0,RR7105,CONNECTING TO ADVANTAGES,,1343.0,"CONNECTING TO ADVANTAGES, INC.",3/14/08,CONNECTING TO ADVANTAGES,1.0,1.0
4917,133396691.0,RR7106,COOKE CENTER FOR LEARN DEVELOPMENT,NEW YORK,1358.0,"COOKE CENTER FOR LEARNING AND DEVELOPMENT, INC.",2/26/87,COOKE CENTER FOR LEARN DEVELOPMENT,0.906666667,1.0
4889,113308972.0,RR7072,CHILDREN OF CITY,,1004.0,"CHILDREN OF THE CITY, INC.",11/15/94,CHILDREN OF CITY,1.0,1.0
4629,,RR4532,UNITED WE STAND ENTERTAINMENT,,5837.0,UNITED WE STAND ENT.,9/30/03,UNITED WE STAND ENTERTAINMENT,0.791666667,1.0
4856,113473757.0,RR7028,BONEI OLAM,,598.0,"BONEI OLAM, INC.",4/2/99,BONEI OLAM,1.0,1.0
4850,,RR7021,BIRTH JOYS,,572.0,"BIRTH JOYS, INC.",4/15/02,BIRTH JOYS,1.0,1.0
4796,,RR6070,MANHATTAN CENTER FOR,,2948.0,"MANHATTAN CENTER FOR LIVING, INC.",11/7/88,MANHATTAN CENTER FOR,0.85106383,1.0
4799,134176035.0,RR6953,12TH STREET PRESCHOOL,,12.0,"12TH STREET PRESCHOOL, INC.",1/8/76,12 TH STREET PRESCHOOL,1.0,1.0
4801,,RR6955,140TH STREET BLOCK,,18.0,"140TH STREET BLOCK ASSN., INC.",5/3/72,140 TH STREET BLOCK,0.88372093,1.0
4802,,RR6956,153 MANHATTAN AVENUE HDFC,,22.0,153 MANHATTAN AVENUE HOUSING DEVELOPMENT FUND CORPORATION,10/31/80,153 MANHATTAN AVENUE HDFC,0.685714286,1.0
4806,113463183.0,RR6961,77TH PRECINCT COMMUNITY COUNCIL,,58.0,"77TH PRECINCT COMMUNITY COUNCIL, INC.",9/26/73,77 TH PRECINCT COMMUNITY COUNCIL,1.0,1.0
4807,113463183.0,RR6961,77TH PRECINCT YOUTH COUNCIL,,58.0,"77TH PRECINCT COMMUNITY COUNCIL, INC.",9/26/73,77 TH PRECINCT COMMUNITY COUNCIL,1.0,1.0
4808,113804421.0,RR6965,A BETTER JAMAICA,,74.0,"A BETTER JAMAICA, INC.",1/31/07,A BETTER JAMAICA,1.0,1.0
4809,134149284.0,RR6966,ABYSSINIAN CULTURAL BUILDING,,78.0,ABYSSINIAN CULTURAL BUILDING CORP.,12/19/00,ABYSSINIAN CULTURAL BUILDING,1.0,1.0
4810,900394877.0,RR6970,ADAMS STREET FOUNDATION,,98.0,"ADAMS STREET FOUNDATION, INC.",5/19/08,ADAMS STREET FOUNDATION,1.0,1.0
4811,,RR6971,ADVANCED CENTER FOR,,105.0,"ADVANCED CENTER FOR PSYCHOTHERAPY, INC.",2/7/58,ADVANCED CENTER FOR,0.7307692309999999,1.0
4812,710866051.0,RR6972,AFIKIM FOUNDATION,,4702.0,THE AFIKIM FOUNDATION,1/14/02,AFIKIM FOUNDATION,1.0,1.0
4813,,RR6973,AHIEZER YESHIVA,,143.0,AHI EZER YESHIVA INC.,12/24/03,AHIEZER YESHIVA,0.967741935,1.0
4814,112822398.0,RR6974,ALLEN WOMENS RESOURCE CENTER,JAMAICA,170.0,"ALLEN WOMEN'S RESOURCE CENTER, LTD.",2/12/88,ALLEN WOMENS RESOURCE CENTER,0.918032787,1.0
4815,133791550.0,RR6975,ALLIANCE FOR DOWNTOWN NY,NEW YORK,180.0,"ALLIANCE FOR DOWNTOWN NEW YORK, INC.",9/30/94,ALLIANCE FOR DOWNTOWN NY,0.8888888890000001,1.0
4853,113612050.0,RR7025,BNOS MEHACHEM,,590.0,"BNOS MENACHEM, INC.",11/18/99,BNOS MEHACHEM,0.923076923,1.0
4816,113582303.0,RR6978,ALMADINAH SCHOOL,,188.0,AL-MADINAH SCHOOL INC,2/4/15,ALMADINAH SCHOOL,0.96969697,1.0
4818,272237575.0,RR6980,AMERICAN DIABETES ASSOCIATION,,232.0,AMERICAN DIABETES ASSOCIATION,10/1/47,AMERICAN DIABETES ASSOCIATION,1.0,1.0
4821,113505513.0,RR6983,AMETHYST WOMENS PROJECT,,268.0,"AMETHYST WOMEN'S PROJECT, INC.",3/1/99,AMETHYST WOMENS PROJECT,0.978723404,1.0
4822,331030839.0,RR6985,ANGELDOCS,,280.0,ANGELDOCS INC.,1/17/03,ANGELDOCS,1.0,1.0
4823,113534833.0,RR6986,ANSOB CENTER FOR REFUGEES,,4743.0,"THE ANSOB CENTER FOR REFUGEES, INC.",3/2/00,ANSOB CENTER FOR REFUGEES,1.0,1.0
4824,113441170.0,RR6987,ANTIOCH DEVELOPMENT,,290.0,ANTIOCH DEVELOPMENT CORPORATION,6/24/98,ANTIOCH DEVELOPMENT,1.0,1.0
4826,,RR6990,ARRIBA JUNTOSFORWARD,,321.0,"ARRIBA JUNTOS - FORWARD TOGETHER, INC.",1/31/75,ARRIBA JUNTOSFORWARD,0.8,1.0
4828,133572287.0,RR6992,ASIAN AMERICAN FEDERATION,NEW YORK,351.0,"ASIAN AMERICAN FEDERATION, INC.",9/8/89,ASIAN AMERICAN FEDERATION,1.0,1.0
4829,133180793.0,RR6995,THEATER INTERNATIONAL,,4774.0,"THEATRE INTERNATIONAL, INC.",8/23/83,THEATER INTERNATIONAL,0.9523809520000001,1.0
4834,200221451.0,RR7000,BAILEYS CAFE,,432.0,"BAILEY'S CAFE, INC.",9/2/03,BAILEYS CAFE,0.96,1.0
4838,133696064.0,RR7004,BALM IN GILEAD,NEW YORK,4781.0,"THE BALM IN GILEAD, INC.",6/9/92,BALM IN GILEAD,1.0,1.0
4842,,RR7010,BEIT YEHUDAH CENTER,,503.0,"BEIT YEHUDA, INC.",2/6/95,BEIT YEHUDAH CENTER,0.7333333329999999,1.0
4846,510171697.0,RR7017,BIBLE CHURCH OF,BRONX,4796.0,"THE BIBLE CHURCH OF CHRIST, INC.",3/8/61,BIBLE CHURCH OF,0.810810811,1.0
4847,133733413.0,RR7018,BIG APPLE GREETER,NEW YORK,557.0,"BIG APPLE GREETER, INC.",8/16/93,BIG APPLE GREETER,1.0,1.0
4848,237354001.0,RR7019,BIG FIVE BLOCK ASSOCIATION,BROOKLYN,564.0,"BIG FIVE BLOCK ASSOCIATION, INC.",11/8/73,BIG FIVE BLOCK ASSOCIATION,1.0,1.0
