,All Free Health Clinics,School-Based Health Centers,Other Health Providers,Federally Qualified Health Centers,Hospitals
17031031400,0.0,1.0,1.0,4.0,3.0
17031031501,0.0,1.0,1.0,5.0,4.0
17031031502,0.0,2.0,1.0,5.0,4.0
17031031700,0.0,2.0,1.0,6.0,4.0
17031031800,0.0,3.0,1.0,6.0,4.0
17031031900,0.0,3.0,1.0,6.0,4.0
17031032100,0.0,2.0,1.0,6.0,3.0
17031040100,1.0,2.0,0.0,3.0,1.0
17031040201,1.0,2.0,0.0,6.0,3.0
17031040202,2.0,1.0,0.0,4.0,1.0
17031040300,1.0,3.0,0.0,4.0,2.0
17031040401,0.0,1.0,0.0,7.0,3.0
17031040402,0.0,1.0,0.0,7.0,3.0
17031040600,0.0,1.0,0.0,8.0,3.0
17031040700,0.0,3.0,0.0,6.0,2.0
17031040800,0.0,3.0,0.0,5.0,2.0
17031040900,0.0,2.0,0.0,6.0,3.0
17031050100,0.0,2.0,0.0,4.0,3.0
17031050200,0.0,2.0,0.0,2.0,1.0
17031050300,0.0,0.0,0.0,4.0,1.0
17031050500,0.0,1.0,0.0,1.0,1.0
17031050600,0.0,1.0,0.0,2.0,2.0
17031050700,0.0,1.0,0.0,1.0,0.0
17031050800,0.0,1.0,0.0,1.0,0.0
17031050900,0.0,0.0,0.0,1.0,1.0
17031051000,0.0,0.0,0.0,1.0,0.0
17031051100,0.0,0.0,0.0,1.0,0.0
17031051200,0.0,1.0,0.0,3.0,1.0
17031051300,0.0,0.0,0.0,1.0,1.0
17031051400,0.0,0.0,0.0,0.0,0.0
17031060100,0.0,2.0,1.0,6.0,3.0
17031060200,0.0,2.0,1.0,5.0,3.0
17031060300,0.0,1.0,1.0,3.0,1.0
17031060400,0.0,1.0,1.0,5.0,2.0
17031060500,0.0,2.0,1.0,7.0,2.0
17031060800,0.0,1.0,1.0,4.0,3.0
17031060900,0.0,1.0,1.0,4.0,3.0
17031061000,0.0,2.0,1.0,6.0,3.0
17031061100,0.0,2.0,1.0,7.0,2.0
17031061200,0.0,1.0,1.0,6.0,2.0
17031061500,0.0,1.0,1.0,4.0,2.0
17031061800,0.0,0.0,1.0,5.0,4.0
17031061901,0.0,0.0,1.0,4.0,3.0
17031061902,0.0,0.0,1.0,2.0,1.0
17031062000,0.0,0.0,1.0,4.0,3.0
17031062100,0.0,0.0,1.0,4.0,3.0
17031062200,0.0,0.0,1.0,4.0,2.0
17031062300,0.0,0.0,1.0,4.0,2.0
17031062400,0.0,1.0,0.0,4.0,1.0
17031062500,0.0,1.0,0.0,4.0,1.0
17031062600,0.0,0.0,0.0,4.0,1.0
17031062700,0.0,0.0,0.0,4.0,1.0
17031062800,0.0,0.0,0.0,4.0,2.0
17031062900,0.0,0.0,0.0,5.0,2.0
17031063000,0.0,0.0,0.0,4.0,3.0
17031063100,0.0,0.0,1.0,4.0,3.0
17031063200,0.0,0.0,0.0,3.0,2.0
17031063301,0.0,0.0,0.0,3.0,2.0
17031063302,0.0,0.0,0.0,3.0,2.0
17031063303,0.0,0.0,0.0,3.0,2.0
17031063400,0.0,0.0,0.0,3.0,3.0
17031070101,0.0,0.0,0.0,2.0,2.0
17031070102,0.0,0.0,0.0,3.0,2.0
17031070103,0.0,0.0,0.0,5.0,2.0
17031070200,0.0,0.0,0.0,5.0,2.0
17031070300,0.0,0.0,0.0,5.0,2.0
17031070400,0.0,0.0,0.0,4.0,2.0
17031070500,0.0,0.0,0.0,4.0,1.0
17031070600,0.0,0.0,0.0,2.0,1.0
17031070700,0.0,0.0,0.0,1.0,0.0
17031071000,0.0,0.0,0.0,4.0,1.0
17031071100,0.0,0.0,0.0,5.0,1.0
17031071200,0.0,0.0,0.0,5.0,2.0
17031071300,0.0,0.0,0.0,4.0,2.0
17031071400,0.0,0.0,0.0,0.0,0.0
17031071500,0.0,0.0,0.0,2.0,0.0
17031071600,0.0,0.0,0.0,2.0,0.0
17031071700,0.0,0.0,0.0,2.0,0.0
17031071800,0.0,0.0,0.0,2.0,0.0
17031080100,0.0,0.0,0.0,2.0,3.0
17031080201,0.0,0.0,0.0,2.0,3.0
17031080202,0.0,0.0,0.0,2.0,3.0
17031080300,0.0,0.0,0.0,2.0,2.0
17031080400,0.0,0.0,0.0,3.0,0.0
17031081000,0.0,0.0,0.0,2.0,3.0
17031081100,0.0,0.0,0.0,2.0,3.0
17031081201,0.0,0.0,0.0,2.0,3.0
17031081202,0.0,0.0,0.0,2.0,3.0
17031081300,0.0,0.0,0.0,1.0,3.0
17031081401,0.0,0.0,0.0,1.0,3.0
17031081402,0.0,0.0,0.0,1.0,3.0
17031081403,0.0,0.0,0.0,1.0,3.0
17031081500,0.0,0.0,0.0,1.0,3.0
17031081600,0.0,0.0,0.0,1.0,3.0
17031081700,0.0,0.0,0.0,1.0,3.0
17031081800,0.0,0.0,0.0,2.0,2.0
17031081900,0.0,0.0,0.0,2.0,3.0
17031090100,0.0,0.0,0.0,0.0,0.0
17031090200,0.0,0.0,0.0,0.0,0.0
17031090300,0.0,0.0,0.0,0.0,1.0
17031100100,0.0,0.0,0.0,0.0,0.0
17031100200,0.0,0.0,0.0,0.0,0.0
17031100300,0.0,0.0,0.0,0.0,1.0
17031100400,0.0,0.0,0.0,0.0,1.0
17031100500,0.0,0.0,0.0,0.0,1.0
17031100600,0.0,0.0,0.0,0.0,1.0
17031100700,0.0,0.0,0.0,0.0,1.0
17031110100,0.0,0.0,0.0,0.0,0.0
17031110200,0.0,0.0,0.0,0.0,0.0
17031110300,0.0,0.0,0.0,0.0,0.0
17031110400,0.0,0.0,0.0,0.0,0.0
17031110501,0.0,0.0,0.0,0.0,0.0
17031110502,0.0,0.0,0.0,0.0,0.0
17031120100,0.0,0.0,0.0,0.0,0.0
17031120200,0.0,0.0,0.0,0.0,0.0
17031120300,0.0,0.0,0.0,0.0,0.0
17031120400,0.0,0.0,0.0,0.0,0.0
17031130100,1.0,0.0,0.0,0.0,0.0
17031130200,0.0,0.0,0.0,0.0,0.0
17031130300,2.0,1.0,0.0,4.0,1.0
17031140100,0.0,2.0,0.0,4.0,2.0
17031140200,0.0,2.0,0.0,4.0,2.0
17031140301,0.0,2.0,0.0,2.0,0.0
17031140302,0.0,2.0,0.0,1.0,0.0
17031140400,0.0,0.0,0.0,0.0,0.0
17031140500,0.0,2.0,0.0,1.0,0.0
17031140601,0.0,2.0,0.0,1.0,0.0
17031140602,0.0,2.0,0.0,2.0,0.0
17031140701,0.0,2.0,0.0,4.0,2.0
17031140702,0.0,2.0,0.0,2.0,1.0
17031140800,0.0,2.0,0.0,5.0,2.0
17031150200,0.0,0.0,0.0,0.0,0.0
17031150300,0.0,0.0,0.0,1.0,1.0
17031150401,0.0,0.0,0.0,0.0,0.0
17031150402,0.0,0.0,0.0,1.0,1.0
17031150501,0.0,0.0,0.0,0.0,1.0
17031150502,0.0,0.0,0.0,1.0,2.0
17031150600,0.0,0.0,0.0,1.0,1.0
17031150700,0.0,0.0,0.0,1.0,1.0
17031150800,0.0,0.0,0.0,1.0,1.0
17031151001,0.0,0.0,0.0,1.0,2.0
17031151002,0.0,0.0,0.0,1.0,2.0
17031151100,0.0,0.0,0.0,2.0,1.0
17031151200,0.0,0.0,0.0,1.0,1.0
17031160100,0.0,0.0,0.0,0.0,0.0
17031160200,0.0,0.0,0.0,0.0,0.0
17031160300,0.0,1.0,0.0,0.0,1.0
17031160400,0.0,1.0,0.0,1.0,1.0
17031160501,0.0,2.0,0.0,2.0,1.0
17031160502,0.0,2.0,0.0,1.0,1.0
17031160601,0.0,2.0,0.0,5.0,2.0
17031160602,0.0,1.0,0.0,3.0,1.0
17031160700,0.0,0.0,0.0,0.0,1.0
17031160800,0.0,1.0,0.0,1.0,1.0
17031160900,0.0,1.0,0.0,0.0,1.0
17031161000,0.0,0.0,0.0,0.0,1.0
17031161100,0.0,0.0,0.0,0.0,1.0
17031161200,0.0,0.0,0.0,0.0,1.0
17031161300,0.0,0.0,0.0,1.0,1.0
17031170100,0.0,0.0,0.0,0.0,1.0
17031170200,0.0,0.0,0.0,1.0,2.0
17031170300,0.0,0.0,0.0,0.0,1.0
17031170400,0.0,0.0,0.0,0.0,1.0
17031170500,0.0,0.0,0.0,0.0,0.0
17031170600,0.0,0.0,0.0,0.0,0.0
17031170700,0.0,0.0,0.0,0.0,0.0
17031170800,0.0,0.0,0.0,0.0,0.0
17031170900,0.0,0.0,0.0,0.0,0.0
17031171000,0.0,0.0,0.0,0.0,1.0
17031171100,0.0,0.0,0.0,1.0,1.0
17031180100,0.0,0.0,0.0,0.0,1.0
17031190100,0.0,0.0,0.0,0.0,1.0
17031190200,0.0,0.0,0.0,1.0,0.0
17031190300,0.0,0.0,0.0,2.0,1.0
17031190401,0.0,0.0,0.0,1.0,1.0
17031190402,0.0,0.0,0.0,2.0,1.0
17031190601,0.0,0.0,0.0,1.0,1.0
17031190602,0.0,0.0,0.0,2.0,1.0
17031190701,0.0,0.0,0.0,2.0,1.0
17031190702,0.0,0.0,0.0,1.0,0.0
17031190800,0.0,0.0,0.0,1.0,0.0
17031190900,0.0,0.0,0.0,2.0,0.0
17031191000,0.0,1.0,0.0,3.0,0.0
17031191100,0.0,0.0,0.0,1.0,0.0
17031191200,0.0,0.0,0.0,1.0,0.0
17031191301,0.0,0.0,0.0,1.0,1.0
17031191302,0.0,0.0,0.0,1.0,0.0
17031200100,0.0,0.0,0.0,1.0,1.0
17031200200,0.0,0.0,1.0,1.0,1.0
17031200300,0.0,1.0,1.0,3.0,0.0
17031200401,0.0,1.0,1.0,3.0,0.0
17031200402,0.0,1.0,1.0,2.0,0.0
17031210100,0.0,0.0,0.0,0.0,0.0
17031210400,0.0,0.0,1.0,1.0,1.0
17031210501,0.0,0.0,2.0,1.0,1.0
17031210502,0.0,1.0,2.0,1.0,1.0
17031210601,0.0,0.0,2.0,1.0,1.0
17031210602,0.0,0.0,2.0,1.0,1.0
17031210700,0.0,0.0,2.0,0.0,0.0
17031210800,0.0,0.0,1.0,0.0,0.0
17031210900,0.0,0.0,1.0,0.0,0.0
17031220300,0.0,0.0,2.0,1.0,0.0
17031220400,0.0,0.0,2.0,1.0,0.0
17031220500,0.0,0.0,2.0,3.0,0.0
17031220601,0.0,1.0,2.0,2.0,1.0
17031220602,0.0,1.0,2.0,1.0,1.0
17031220701,0.0,1.0,2.0,2.0,1.0
17031220702,0.0,1.0,2.0,2.0,1.0
17031220901,0.0,1.0,1.0,3.0,0.0
17031220902,0.0,1.0,2.0,2.0,1.0
17031221000,0.0,1.0,2.0,3.0,0.0
17031221100,0.0,1.0,2.0,5.0,0.0
17031221200,0.0,1.0,2.0,4.0,0.0
17031221300,0.0,1.0,2.0,3.0,1.0
17031221400,0.0,0.0,2.0,3.0,1.0
17031221500,0.0,1.0,1.0,3.0,2.0
17031221600,0.0,1.0,1.0,4.0,2.0
17031222200,0.0,1.0,1.0,4.0,2.0
17031222500,0.0,1.0,1.0,7.0,2.0
17031222600,0.0,1.0,2.0,8.0,2.0
17031222700,0.0,1.0,2.0,7.0,1.0
17031222800,0.0,1.0,1.0,5.0,0.0
17031222900,0.0,1.0,1.0,4.0,0.0
17031230100,0.0,2.0,1.0,9.0,2.0
17031230200,0.0,1.0,1.0,8.0,2.0
17031230300,0.0,1.0,1.0,8.0,1.0
17031230400,0.0,2.0,1.0,5.0,1.0
17031230500,0.0,1.0,0.0,3.0,0.0
17031230600,0.0,2.0,0.0,1.0,0.0
17031230700,0.0,3.0,0.0,8.0,2.0
17031230800,0.0,2.0,1.0,8.0,1.0
17031230900,0.0,2.0,0.0,10.0,1.0
17031231100,1.0,2.0,0.0,9.0,2.0
17031231200,0.0,3.0,0.0,8.0,2.0
17031231500,0.0,2.0,0.0,4.0,1.0
17031240200,0.0,1.0,0.0,6.0,2.0
17031240300,0.0,1.0,0.0,5.0,2.0
17031240500,0.0,1.0,1.0,4.0,2.0
17031240600,1.0,1.0,1.0,7.0,3.0
17031240700,1.0,1.0,1.0,8.0,3.0
17031240800,0.0,2.0,1.0,8.0,3.0
17031240900,1.0,1.0,0.0,8.0,3.0
17031241000,1.0,1.0,1.0,8.0,3.0
17031241100,1.0,1.0,0.0,8.0,3.0
17031241200,1.0,1.0,0.0,7.0,3.0
17031241300,1.0,1.0,0.0,6.0,3.0
17031241400,0.0,1.0,0.0,5.0,2.0
17031241500,0.0,1.0,0.0,6.0,2.0
17031241600,0.0,1.0,0.0,5.0,2.0
17031242000,0.0,2.0,0.0,2.0,1.0
17031242100,1.0,2.0,0.0,3.0,2.0
17031242200,1.0,2.0,0.0,5.0,3.0
17031242300,1.0,1.0,0.0,5.0,3.0
17031242400,1.0,1.0,0.0,9.0,3.0
17031242500,1.0,1.0,0.0,10.0,3.0
17031242600,1.0,1.0,0.0,8.0,3.0
17031242700,1.0,2.0,0.0,9.0,3.0
17031242800,1.0,1.0,0.0,6.0,2.0
17031242900,1.0,3.0,0.0,7.0,3.0
17031243000,2.0,3.0,0.0,4.0,2.0
17031243100,2.0,3.0,1.0,3.0,3.0
17031243200,2.0,1.0,1.0,1.0,3.0
17031243300,1.0,1.0,0.0,1.0,1.0
17031243400,1.0,1.0,0.0,1.0,1.0
17031243500,0.0,1.0,0.0,3.0,0.0
17031250200,0.0,0.0,0.0,1.0,0.0
17031250300,0.0,0.0,0.0,1.0,0.0
17031250400,0.0,0.0,0.0,1.0,2.0
17031250500,0.0,0.0,0.0,0.0,1.0
17031250600,0.0,0.0,0.0,2.0,1.0
17031250700,0.0,0.0,0.0,1.0,0.0
17031250800,0.0,0.0,0.0,0.0,0.0
17031251000,0.0,1.0,0.0,0.0,0.0
17031251100,0.0,1.0,0.0,1.0,0.0
17031251200,0.0,1.0,0.0,4.0,1.0
17031251300,0.0,1.0,0.0,4.0,1.0
17031251400,0.0,1.0,0.0,4.0,1.0
17031251500,0.0,1.0,0.0,4.0,1.0
17031251600,0.0,1.0,0.0,2.0,0.0
17031251700,0.0,2.0,0.0,1.0,0.0
17031251800,0.0,1.0,0.0,2.0,0.0
17031251900,0.0,1.0,0.0,5.0,2.0
17031252000,0.0,1.0,0.0,5.0,2.0
17031252101,0.0,1.0,0.0,6.0,2.0
17031252102,0.0,1.0,0.0,3.0,1.0
17031252201,0.0,1.0,0.0,3.0,1.0
17031252202,0.0,0.0,0.0,2.0,1.0
17031260100,0.0,2.0,0.0,3.0,2.0
17031260200,0.0,2.0,0.0,2.0,1.0
17031260300,0.0,2.0,0.0,2.0,1.0
17031260400,0.0,2.0,0.0,2.0,1.0
17031260500,0.0,0.0,0.0,1.0,0.0
17031260600,0.0,0.0,0.0,2.0,1.0
17031260700,1.0,1.0,0.0,2.0,2.0
17031260800,1.0,2.0,0.0,4.0,2.0
17031260900,0.0,0.0,0.0,4.0,1.0
17031261000,0.0,0.0,0.0,2.0,1.0
17031270500,1.0,1.0,0.0,4.0,2.0
17031271200,1.0,2.0,0.0,6.0,3.0
17031271300,1.0,2.0,0.0,5.0,2.0
17031271400,1.0,1.0,0.0,3.0,2.0
17031271500,1.0,1.0,0.0,4.0,3.0
17031271800,1.0,2.0,1.0,4.0,6.0
17031280100,1.0,1.0,0.0,1.0,0.0
17031280400,1.0,2.0,1.0,2.0,4.0
17031280800,3.0,2.0,1.0,2.0,4.0
17031280900,3.0,2.0,1.0,2.0,4.0
17031281900,2.0,0.0,0.0,0.0,0.0
17031282700,2.0,3.0,1.0,3.0,6.0
17031282800,2.0,3.0,1.0,4.0,7.0
17031283100,1.0,4.0,1.0,3.0,4.0
17031283200,2.0,3.0,1.0,3.0,4.0
17031283800,1.0,2.0,0.0,2.0,1.0
17031290900,0.0,0.0,1.0,2.0,0.0
17031291200,0.0,1.0,1.0,7.0,4.0
17031291600,0.0,2.0,0.0,6.0,4.0
17031292200,0.0,1.0,1.0,8.0,3.0
17031292400,0.0,1.0,1.0,4.0,0.0
17031292500,0.0,1.0,1.0,3.0,0.0
17031300500,0.0,0.0,1.0,6.0,0.0
17031300600,0.0,1.0,1.0,7.0,1.0
17031300700,0.0,1.0,1.0,9.0,3.0
17031300800,0.0,1.0,1.0,10.0,3.0
17031300900,0.0,1.0,1.0,9.0,3.0
17031301100,0.0,1.0,1.0,8.0,3.0
17031301200,0.0,2.0,0.0,7.0,3.0
17031301600,0.0,1.0,1.0,5.0,0.0
17031301701,0.0,1.0,1.0,6.0,0.0
17031301702,0.0,1.0,1.0,6.0,0.0
17031301801,0.0,1.0,1.0,2.0,0.0
17031301802,0.0,1.0,1.0,6.0,0.0
17031301803,0.0,1.0,1.0,3.0,0.0
17031310200,1.0,2.0,1.0,2.0,0.0
17031310300,1.0,3.0,1.0,2.0,0.0
17031310400,1.0,3.0,1.0,2.0,0.0
17031310500,1.0,3.0,1.0,2.0,0.0
17031310600,1.0,3.0,1.0,3.0,1.0
17031310700,0.0,3.0,0.0,4.0,2.0
17031310800,0.0,3.0,1.0,5.0,3.0
17031310900,0.0,3.0,1.0,7.0,6.0
17031320100,0.0,0.0,0.0,1.0,3.0
17031320400,0.0,0.0,0.0,0.0,1.0
17031320600,0.0,0.0,0.0,0.0,0.0
17031330100,0.0,2.0,1.0,0.0,0.0
17031330200,1.0,1.0,1.0,1.0,1.0
17031340300,0.0,3.0,3.0,2.0,1.0
17031340400,0.0,3.0,3.0,2.0,1.0
17031340500,0.0,3.0,3.0,2.0,1.0
17031340600,0.0,1.0,1.0,1.0,0.0
17031350100,0.0,2.0,1.0,2.0,0.0
17031350400,0.0,3.0,3.0,2.0,1.0
17031351000,0.0,2.0,1.0,3.0,1.0
17031351100,0.0,3.0,2.0,4.0,0.0
17031351400,0.0,4.0,2.0,2.0,0.0
17031351500,0.0,3.0,2.0,2.0,0.0
17031360200,1.0,2.0,1.0,4.0,0.0
17031380100,1.0,2.0,2.0,4.0,1.0
17031380200,1.0,3.0,2.0,5.0,1.0
17031380500,0.0,2.0,1.0,3.0,0.0
17031380700,1.0,2.0,2.0,4.0,1.0
17031381200,2.0,3.0,1.0,5.0,1.0
17031381400,2.0,3.0,1.0,5.0,1.0
17031381500,2.0,3.0,1.0,4.0,1.0
17031381700,1.0,1.0,1.0,4.0,1.0
17031381800,1.0,3.0,1.0,4.0,1.0
17031381900,2.0,2.0,1.0,4.0,2.0
17031390100,1.0,0.0,0.0,3.0,0.0
17031390200,1.0,1.0,1.0,4.0,1.0
17031390300,1.0,3.0,1.0,5.0,1.0
17031390400,2.0,2.0,1.0,5.0,2.0
17031390500,2.0,1.0,1.0,4.0,1.0
17031390600,1.0,1.0,1.0,4.0,1.0
17031390700,1.0,0.0,0.0,1.0,0.0
17031400300,1.0,1.0,1.0,4.0,2.0
17031400400,1.0,1.0,1.0,3.0,2.0
17031400500,1.0,1.0,1.0,2.0,3.0
17031400800,2.0,0.0,0.0,3.0,2.0
17031410100,0.0,0.0,0.0,0.0,0.0
17031410200,1.0,1.0,1.0,4.0,1.0
17031410500,2.0,1.0,1.0,4.0,2.0
17031410600,2.0,1.0,2.0,4.0,2.0
17031410700,1.0,1.0,2.0,3.0,2.0
17031410800,1.0,1.0,1.0,2.0,2.0
17031410900,0.0,0.0,0.0,0.0,0.0
17031411000,0.0,0.0,0.0,0.0,0.0
17031411100,0.0,0.0,1.0,1.0,1.0
17031411200,0.0,0.0,1.0,1.0,1.0
17031420100,0.0,0.0,1.0,0.0,1.0
17031420200,0.0,0.0,1.0,1.0,1.0
17031420300,0.0,0.0,1.0,1.0,1.0
17031420400,0.0,0.0,1.0,1.0,1.0
17031420500,0.0,0.0,1.0,1.0,1.0
17031420600,1.0,0.0,1.0,1.0,2.0
17031420700,0.0,1.0,1.0,0.0,2.0
17031420800,0.0,1.0,1.0,1.0,1.0
17031421200,0.0,1.0,1.0,0.0,1.0
17031430101,0.0,0.0,0.0,0.0,0.0
17031430102,0.0,0.0,0.0,0.0,1.0
17031430200,0.0,0.0,1.0,1.0,1.0
17031430300,0.0,1.0,1.0,1.0,1.0
17031430400,0.0,1.0,1.0,1.0,1.0
17031430500,0.0,1.0,0.0,1.0,1.0
17031430600,0.0,0.0,0.0,1.0,1.0
17031430700,0.0,0.0,0.0,0.0,0.0
17031430800,0.0,0.0,0.0,1.0,1.0
17031430900,0.0,1.0,0.0,1.0,1.0
17031431200,0.0,0.0,0.0,0.0,1.0
17031431301,0.0,0.0,0.0,1.0,1.0
17031431302,0.0,0.0,0.0,0.0,1.0
17031431400,0.0,0.0,0.0,0.0,0.0
17031440101,0.0,1.0,0.0,0.0,1.0
17031440102,0.0,0.0,0.0,0.0,0.0
17031440201,0.0,0.0,0.0,0.0,0.0
17031440202,0.0,0.0,0.0,0.0,0.0
17031440300,0.0,0.0,0.0,0.0,0.0
17031440600,0.0,0.0,0.0,0.0,0.0
17031440700,0.0,0.0,0.0,0.0,0.0
17031440800,0.0,0.0,0.0,0.0,0.0
17031440900,0.0,0.0,0.0,0.0,0.0
17031450300,0.0,0.0,0.0,0.0,2.0
17031460100,0.0,0.0,0.0,1.0,1.0
17031460200,0.0,0.0,0.0,1.0,1.0
17031460301,0.0,0.0,0.0,1.0,1.0
17031460302,0.0,0.0,0.0,1.0,1.0
17031460400,0.0,0.0,0.0,1.0,1.0
17031460500,0.0,0.0,0.0,1.0,2.0
17031460600,0.0,0.0,0.0,0.0,0.0
17031460700,0.0,0.0,0.0,1.0,1.0
17031461000,0.0,0.0,0.0,0.0,1.0
17031470100,0.0,0.0,0.0,0.0,0.0
17031480100,0.0,0.0,0.0,0.0,0.0
17031480200,0.0,0.0,0.0,0.0,0.0
17031480300,0.0,0.0,0.0,0.0,0.0
17031480400,0.0,0.0,0.0,0.0,0.0
17031480500,0.0,0.0,0.0,0.0,0.0
17031490300,0.0,0.0,0.0,0.0,0.0
17031490400,0.0,0.0,0.0,0.0,0.0
17031490500,0.0,0.0,0.0,0.0,0.0
17031490600,0.0,0.0,0.0,1.0,0.0
17031490700,0.0,0.0,0.0,2.0,1.0
17031490800,0.0,0.0,0.0,0.0,0.0
17031490901,0.0,0.0,0.0,3.0,1.0
17031490902,0.0,0.0,0.0,2.0,1.0
17031491000,0.0,0.0,0.0,2.0,1.0
17031491100,0.0,0.0,0.0,2.0,1.0
17031491200,0.0,0.0,0.0,2.0,1.0
17031491300,0.0,0.0,0.0,3.0,1.0
17031491400,0.0,0.0,0.0,3.0,1.0
17031500100,0.0,0.0,0.0,0.0,0.0
17031500200,0.0,0.0,0.0,0.0,0.0
17031500300,0.0,0.0,0.0,3.0,1.0
17031510100,0.0,0.0,0.0,2.0,0.0
17031510200,0.0,0.0,0.0,2.0,0.0
17031510300,0.0,0.0,0.0,0.0,0.0
17031520100,0.0,0.0,0.0,2.0,0.0
17031520200,0.0,0.0,0.0,2.0,0.0
17031520300,0.0,0.0,0.0,2.0,0.0
17031520400,0.0,0.0,0.0,2.0,0.0
17031520500,0.0,0.0,0.0,2.0,0.0
17031520600,0.0,0.0,0.0,2.0,0.0
17031530100,0.0,0.0,0.0,3.0,1.0
17031530200,0.0,0.0,0.0,3.0,1.0
17031530300,0.0,0.0,0.0,0.0,0.0
17031530400,0.0,0.0,0.0,0.0,0.0
17031530501,0.0,0.0,0.0,0.0,0.0
17031530502,0.0,0.0,0.0,0.0,0.0
17031530503,0.0,0.0,0.0,0.0,0.0
17031530600,0.0,0.0,0.0,1.0,0.0
17031540101,0.0,1.0,0.0,1.0,0.0
17031540102,0.0,0.0,0.0,1.0,0.0
17031550100,0.0,0.0,0.0,0.0,0.0
17031550200,,,,,
17031560100,0.0,0.0,0.0,1.0,0.0
17031560200,0.0,0.0,0.0,1.0,0.0
17031560300,0.0,0.0,0.0,2.0,0.0
17031560400,0.0,0.0,0.0,2.0,0.0
17031560700,0.0,0.0,0.0,3.0,0.0
17031560800,0.0,0.0,0.0,1.0,0.0
17031560900,0.0,0.0,0.0,1.0,0.0
17031561000,0.0,0.0,0.0,1.0,0.0
17031561100,0.0,0.0,0.0,1.0,0.0
17031570100,0.0,0.0,0.0,0.0,0.0
17031570200,0.0,0.0,0.0,2.0,0.0
17031570300,0.0,0.0,0.0,4.0,0.0
17031570400,0.0,0.0,0.0,4.0,0.0
17031570500,0.0,0.0,0.0,3.0,0.0
17031580100,0.0,1.0,0.0,1.0,0.0
17031580200,0.0,1.0,0.0,2.0,0.0
17031580300,0.0,1.0,0.0,0.0,0.0
17031580400,0.0,1.0,0.0,1.0,0.0
17031580501,0.0,1.0,0.0,2.0,0.0
17031580502,0.0,1.0,0.0,1.0,0.0
17031580600,0.0,1.0,0.0,2.0,0.0
17031580700,0.0,1.0,0.0,1.0,0.0
17031580800,0.0,0.0,0.0,3.0,0.0
17031590500,0.0,1.0,0.0,1.0,0.0
17031590600,0.0,0.0,0.0,1.0,0.0
17031590700,0.0,0.0,0.0,3.0,0.0
17031600400,0.0,0.0,2.0,1.0,1.0
17031600600,0.0,1.0,1.0,2.0,0.0
17031600700,0.0,1.0,0.0,2.0,0.0
17031600900,0.0,1.0,0.0,0.0,0.0
17031610300,1.0,0.0,0.0,2.0,0.0
17031610400,2.0,0.0,0.0,4.0,0.0
17031610800,0.0,1.0,0.0,2.0,0.0
17031611000,1.0,0.0,0.0,4.0,0.0
17031611100,2.0,0.0,0.0,4.0,0.0
17031611200,2.0,0.0,0.0,4.0,0.0
17031611300,2.0,0.0,0.0,4.0,0.0
17031611400,2.0,0.0,0.0,3.0,0.0
