,Hospitals,All Free Health Clinics,Other Health Providers,Federally Qualified Health Centers,School-Based Health Centers
17031140701,2,0,0,4,2
17031140702,1,0,0,2,2
17031140800,2,0,0,5,2
17031150200,0,0,0,0,0
17031150300,1,0,0,1,0
17031150401,1,0,0,1,0
17031150402,1,0,0,1,0
17031150501,1,0,0,0,0
17031150502,2,0,0,1,0
17031150600,1,0,0,1,0
17031150700,1,0,0,1,0
17031150800,1,0,0,1,0
17031151001,2,0,0,1,0
17031151002,2,0,0,1,0
17031151100,1,0,0,2,0
17031151200,1,0,0,1,0
17031160100,0,0,0,0,0
17031160200,0,0,0,0,0
17031160300,1,0,0,0,1
17031160400,1,0,0,1,1
17031160501,1,0,0,2,2
17031160502,1,0,0,1,2
17031160601,2,0,0,5,2
17031160602,1,0,0,3,2
17031160700,1,0,0,0,0
17031160800,1,0,0,1,1
17031160900,1,0,0,0,1
17031161000,1,0,0,0,0
17031161100,1,0,0,0,0
17031161200,1,0,0,0,0
17031161300,1,0,0,1,0
17031170100,1,0,0,0,0
17031170200,2,0,0,1,0
17031170300,1,0,0,0,0
17031170400,1,0,0,0,0
17031170500,0,0,0,0,0
17031170600,0,0,0,0,0
17031170700,0,0,0,0,0
17031170800,0,0,0,0,0
17031170900,0,0,0,0,0
17031171000,1,0,0,0,0
17031171100,1,0,0,1,0
17031180100,1,0,0,0,0
17031190100,1,0,0,0,0
17031190200,0,0,0,1,0
17031190300,1,0,0,2,0
17031190401,1,0,0,1,0
17031190402,1,0,0,2,0
17031190601,1,0,0,1,0
17031190602,1,0,0,2,0
17031190701,1,0,0,2,0
17031190702,0,0,0,1,0
17031190800,0,0,0,1,0
17031190900,0,0,0,2,0
17031191000,0,0,0,3,1
17031191100,0,0,0,1,0
17031191200,0,0,0,1,0
17031191301,1,0,0,1,0
17031191302,1,0,0,1,0
17031200100,1,0,0,1,0
17031200200,1,0,1,1,0
17031200300,1,0,1,3,1
17031200401,0,0,1,3,1
17031200402,0,0,1,2,1
17031210100,0,0,0,0,0
17031210400,1,0,1,1,0
17031210501,1,0,2,1,0
17031210502,1,0,2,1,1
17031210601,1,0,2,1,0
17031210602,1,0,2,1,0
17031210700,1,0,2,0,0
17031210800,0,0,1,0,0
17031210900,0,0,1,0,0
17031220300,0,0,2,1,0
17031220400,0,0,2,2,0
17031220500,1,0,2,3,0
17031220601,1,0,2,2,1
17031220602,1,0,2,1,1
17031220701,1,0,2,2,1
17031220702,1,0,2,2,1
17031220901,0,0,1,3,1
17031220902,1,0,2,2,1
17031221000,0,0,2,3,1
17031221100,0,0,2,5,1
17031221200,0,0,2,4,1
17031221300,1,0,2,3,1
17031221400,1,0,2,3,0
17031221500,2,0,1,3,1
17031221600,2,0,1,4,1
17031222200,2,0,1,4,1
17031222500,2,0,1,7,2
17031222600,2,0,2,8,1
17031222700,1,0,2,8,1
17031222800,0,0,2,5,1
17031222900,0,0,1,4,1
17031230100,2,0,1,9,2
17031230200,2,0,2,8,1
17031230300,1,0,1,8,1
17031230400,1,0,1,5,2
17031230500,0,0,0,3,1
17031230600,0,0,0,2,2
17031230700,2,0,0,8,3
17031230800,2,0,1,8,2
17031230900,2,0,0,10,3
17031231100,2,1,0,9,3
17031231200,2,0,0,8,3
17031231500,2,0,0,4,2
17031240200,2,0,0,6,1
17031240300,2,0,0,5,1
17031240500,2,0,1,4,1
17031240600,3,1,1,7,1
17031240700,3,1,1,8,1
17031240800,3,0,1,9,2
17031240900,3,1,0,9,1
17031241000,3,1,1,8,1
17031241100,3,1,0,8,1
17031241200,3,1,0,7,1
17031241300,3,1,0,6,1
17031241400,2,0,0,5,1
17031241500,2,0,0,6,1
17031241600,2,0,0,5,1
17031242000,1,1,0,2,2
17031242100,2,2,0,3,2
17031242200,3,1,0,5,2
17031242300,3,1,0,5,1
17031242400,3,1,0,9,1
17031242500,3,1,0,10,1
17031242600,3,1,0,8,1
17031242700,3,1,0,9,2
17031242800,3,1,0,7,1
17031242900,3,1,0,7,3
17031243000,3,2,1,4,3
17031243100,3,2,1,3,3
17031243200,3,2,1,1,1
17031243300,1,1,0,1,1
17031243400,1,1,0,1,1
17031243500,0,0,0,3,1
17031250200,0,0,0,2,0
17031250300,0,0,0,1,0
17031250400,2,0,0,1,0
17031250500,1,0,0,0,0
17031250600,1,0,0,2,0
17031250700,0,0,0,1,0
17031250800,0,0,0,0,0
17031251000,0,0,0,0,1
17031251100,0,0,0,1,1
17031251200,1,0,0,4,1
17031251300,1,0,0,4,1
17031251400,1,0,0,4,1
17031251500,1,0,0,4,1
17031251600,1,0,0,4,1
17031251700,0,0,0,1,2
17031251800,0,0,0,2,1
17031251900,2,0,0,5,1
17031252000,2,0,0,5,1
17031252101,2,0,0,6,1
17031252102,1,0,0,3,1
17031252201,1,0,0,3,1
17031252202,1,0,0,2,0
17031260100,2,0,0,3,2
17031260200,2,0,0,2,2
17031260300,1,0,0,2,2
17031260400,1,0,0,2,2
17031260500,0,0,0,1,0
17031260600,1,0,0,2,0
17031260700,2,1,0,2,1
17031260800,2,1,0,4,2
17031260900,1,0,0,4,0
17031261000,1,0,0,2,0
17031270500,2,1,0,4,1
17031271200,3,1,0,6,2
17031271300,2,1,0,5,2
17031271400,2,1,0,3,1
17031271500,3,1,0,4,1
17031271800,6,1,1,4,2
17031280100,0,1,0,1,1
17031280400,4,1,1,3,2
17031280800,4,3,1,2,2
17031280900,4,3,1,2,2
17031281900,0,2,0,0,0
17031282700,7,2,1,5,3
17031282800,7,2,1,5,4
17031283100,4,1,1,3,5
17031283200,4,2,1,3,3
17031283800,1,1,0,3,2
17031290900,0,0,1,3,0
17031291200,4,0,1,7,1
17031291600,4,0,0,6,2
17031292200,3,0,1,8,1
17031292400,1,0,1,5,1
17031292500,0,0,1,3,1
17031300500,0,0,1,6,0
17031300600,1,0,1,7,1
17031300700,3,0,1,9,1
17031300800,3,0,1,10,1
17031300900,3,0,1,9,1
17031301100,3,0,1,8,1
17031301200,3,0,0,7,2
17031301600,0,0,1,5,1
17031301701,0,0,1,6,1
17031301702,0,0,1,6,1
17031301801,0,0,1,2,1
17031301802,0,0,1,6,1
17031301803,0,0,1,3,1
17031310200,0,1,1,2,2
17031310300,0,1,1,2,3
17031310400,0,1,1,2,4
17031310500,0,1,1,2,4
17031310600,1,1,1,3,3
17031310700,2,0,0,4,3
17031310800,3,0,1,5,3
17031310900,6,0,1,7,3
17031320100,3,0,0,1,0
17031320400,1,0,0,0,0
17031320600,0,0,0,0,0
17031330100,1,0,1,1,2
17031330200,1,1,1,1,1
17031340300,1,0,3,2,3
17031340400,1,0,3,2,3
17031340500,1,0,3,2,4
17031340600,0,0,2,1,1
17031350100,0,0,1,2,2
17031350400,1,0,3,2,3
17031351000,1,0,1,3,2
17031351100,0,0,2,4,3
17031351400,1,0,2,3,4
17031351500,0,0,2,2,3
17031360200,0,1,1,5,2
17031380100,1,1,2,4,2
17031380200,1,1,2,5,3
17031380500,0,0,1,3,2
17031380700,1,2,2,4,2
17031381200,1,2,1,5,3
17031381400,1,2,1,5,3
17031381500,1,2,1,4,3
17031381700,1,1,1,4,2
17031381800,1,1,1,4,3
17031381900,2,2,1,4,2
17031390100,0,1,0,4,0
17031390200,1,1,1,4,1
17031390300,1,1,1,5,3
17031390400,2,2,1,5,2
17031390500,1,2,1,4,1
17031390600,1,1,1,4,1
17031390700,0,1,0,1,1
17031400300,2,1,1,4,1
17031400400,2,1,1,2,1
17031400500,3,1,1,2,1
17031400800,2,2,1,3,0
17031410100,0,1,0,0,0
17031410200,2,1,1,4,1
17031410500,2,2,1,4,1
17031410600,2,2,2,4,1
17031410700,2,1,2,4,1
17031410800,2,1,1,2,1
17031410900,0,0,0,0,0
17031411000,1,0,0,0,0
17031411100,1,0,1,1,0
17031411200,1,0,1,1,1
17031420100,1,0,1,1,0
17031420200,1,0,1,1,0
17031420300,1,0,1,1,0
17031420400,1,1,1,1,0
17031420500,1,0,1,1,0
17031420600,2,1,1,1,0
17031420700,2,0,1,0,1
17031420800,1,0,1,1,1
17031421200,1,0,1,0,1
17031430101,2,0,0,1,0
17031430102,1,0,0,1,0
17031430200,2,0,1,1,1
17031430300,2,0,1,1,1
17031430400,1,0,1,1,1
17031430500,2,0,0,1,1
17031430600,3,0,0,1,0
17031430700,2,0,0,1,0
17031430800,3,0,0,1,0
17031430900,2,0,0,1,1
17031431200,2,0,0,1,0
17031431301,1,0,0,2,0
17031431302,2,0,0,1,0
17031431400,0,0,0,1,0
17031440101,1,0,0,0,1
17031440102,0,0,0,0,0
17031440201,0,0,0,0,0
17031440202,0,0,0,0,0
17031440300,0,0,0,0,0
17031440600,0,0,0,0,0
17031440700,0,0,0,0,0
17031440800,0,0,0,0,0
17031440900,0,0,0,0,0
17031450300,2,0,0,0,0
17031460100,0,0,0,1,0
17031460200,0,0,0,2,0
17031460301,2,0,0,2,0
17031460302,1,0,0,2,0
17031460400,2,0,0,2,0
17031460500,2,0,0,1,0
17031460600,2,0,0,2,0
17031460700,1,0,0,2,0
17031461000,1,0,0,2,0
17031470100,0,0,0,0,0
17031480100,2,0,0,0,0
17031480200,0,0,0,0,0
17031480300,1,0,0,0,0
17031480400,1,0,0,1,0
17031480500,1,0,0,1,0
17031490300,0,0,0,0,0
17031490400,0,0,0,0,0
17031490500,0,0,0,0,0
17031490600,0,0,0,1,0
17031490700,1,0,0,2,0
17031490800,0,0,0,0,0
17031490901,1,0,0,3,0
17031490902,1,0,0,2,0
17031491000,1,0,0,2,0
17031491100,1,0,0,2,0
17031491200,1,0,0,2,0
17031491300,1,0,0,3,0
17031491400,1,0,0,3,0
17031500100,0,0,0,0,0
17031500200,0,0,0,0,0
17031500300,1,0,0,3,0
17031510100,0,0,0,1,0
17031510200,1,0,0,1,0
17031510300,1,0,0,0,0
17031520100,0,0,0,1,0
17031520200,0,0,0,1,0
17031520300,0,0,0,2,0
17031520400,0,0,0,1,0
17031520500,0,0,0,2,0
17031520600,0,0,0,2,0
17031530100,1,0,0,3,0
17031530200,1,0,0,3,0
17031530300,0,0,0,0,0
17031530400,0,0,0,0,0
17031530501,0,0,0,0,0
17031530502,0,0,0,0,0
17031530503,0,0,0,0,0
17031530600,0,0,0,1,0
17031540101,0,0,0,1,1
17031540102,0,0,0,1,0
17031550100,0,0,0,1,0
17031550200,0,0,0,0,0
17031560100,0,0,0,1,0
17031560200,0,0,0,1,0
17031560300,0,0,0,2,0
17031560400,0,0,0,2,0
17031560700,0,0,0,3,0
17031560800,0,0,0,1,0
17031560900,0,0,0,1,0
17031561000,0,0,0,1,0
17031561100,0,0,0,1,0
17031570100,0,0,0,0,0
17031570200,0,0,0,2,0
17031570300,0,0,0,4,0
17031570400,0,0,0,4,0
17031570500,0,0,0,3,0
17031580100,0,0,0,1,1
17031580200,0,0,0,2,1
17031580300,0,0,0,0,1
17031580400,0,0,0,1,1
17031580501,0,0,0,2,1
17031580502,0,0,0,1,1
17031580600,0,0,0,2,1
17031580700,0,0,0,2,1
17031580800,0,0,0,3,0
17031590500,0,0,0,1,1
17031590600,0,0,0,1,0
17031590700,0,0,0,3,0
17031600400,1,0,2,1,1
17031600600,0,0,1,3,1
17031600700,0,0,0,2,1
17031600900,0,0,0,0,1
17031610300,0,1,0,2,0
17031610400,0,2,0,4,0
17031610800,0,0,0,2,1
17031611000,0,1,0,4,0
17031611100,0,2,0,4,0
17031611200,0,2,0,4,0
17031611300,0,2,0,4,0
17031611400,0,2,0,3,0
17031611500,0,2,0,3,0
17031611600,0,2,0,3,0
17031611700,0,2,0,4,0
17031611800,0,2,0,3,0
17031611900,0,2,0,4,0
17031612000,0,2,0,5,0
17031612100,0,3,0,6,0
17031620100,0,0,0,3,0
17031620200,0,0,0,2,0
17031620300,0,0,0,2,0
17031620400,0,0,0,3,0
17031630100,0,2,0,2,0
17031630200,0,0,0,1,0
17031630300,0,0,0,3,0
17031630400,0,0,0,2,0
17031630500,0,2,0,2,0
17031630800,0,1,0,4,1
17031630900,0,1,0,4,0
17031640100,0,0,0,1,0
17031640300,0,0,0,1,0
17031640400,0,0,0,1,0
17031640500,0,0,0,0,0
17031640600,0,0,0,1,0
17031640700,0,0,0,0,0
17031640800,0,0,0,0,0
17031650100,0,0,0,2,0
17031650200,0,0,0,2,0
17031650301,0,0,0,1,0
17031650302,0,1,0,2,1
17031650400,0,0,0,0,0
17031650500,0,0,0,0,0
17031660301,1,1,0,3,1
17031660302,1,1,0,3,1
17031660400,0,1,0,3,1
17031660500,1,1,0,2,1
17031660600,1,1,0,3,1
17031660700,1,1,0,2,1
17031660800,1,1,0,3,1
17031660900,1,1,0,2,1
17031661000,1,0,0,1,0
17031661100,1,0,0,2,1
17031670100,0,3,0,4,0
17031670200,0,2,0,4,0
17031670300,0,2,0,3,0
17031670400,0,2,0,3,0
17031670500,0,2,0,2,0
17031670600,0,2,0,2,0
17031670700,0,3,0,3,0
17031670800,0,3,0,3,0
17031670900,0,2,0,3,0
17031671100,0,1,0,2,0
17031671200,0,0,0,0,0
17031671300,1,1,0,2,0
17031671400,1,1,0,2,1
17031671500,1,0,0,2,0
17031671600,0,0,0,1,0
17031671800,0,0,0,1,1
17031671900,0,0,0,2,1
17031672000,0,0,0,0,0
17031680500,0,3,0,3,0
17031680600,1,1,0,2,0
17031680900,1,1,0,2,0
17031681000,1,1,0,2,0
17031681100,1,1,0,2,0
17031681200,1,1,0,2,0
17031681300,1,1,0,2,0
17031681400,0,0,0,1,1
17031690300,1,1,0,2,0
17031690400,1,0,0,1,1
17031690500,0,0,0,0,1
17031690900,1,0,0,0,1
17031691000,0,0,0,0,1
17031691100,1,0,0,1,0
17031691200,0,0,0,0,1
17031691300,0,0,0,0,0
17031691400,1,0,0,0,1
17031691500,1,0,0,0,1
17031700100,0,0,0,0,0
17031700200,0,0,0,0,0
17031700301,0,0,0,0,0
17031700302,0,0,0,0,0
17031700401,0,0,0,0,0
17031700402,0,0,0,0,0
17031700501,0,0,0,0,0
17031700502,1,0,0,0,0
17031710100,0,0,0,1,1
17031710200,0,0,0,2,1
17031710300,0,0,0,1,1
17031710400,0,0,0,1,0
17031710500,0,0,0,1,1
17031710600,0,0,0,1,1
17031710700,0,0,0,1,1
17031710800,0,0,0,1,1
17031710900,0,0,0,1,1
17031711000,0,0,0,1,1
17031711100,0,0,0,1,1
17031711200,0,0,0,1,1
17031711300,0,0,0,1,0
17031711400,0,0,0,1,1
17031711500,0,0,0,1,0
17031720100,1,0,0,0,0
17031720200,0,0,0,1,0
17031720300,1,0,0,0,0
17031720400,1,0,0,0,0
17031720500,1,0,0,0,0
17031720600,0,0,0,0,0
17031720700,0,0,0,0,0
17031730100,0,0,0,1,0
17031730201,0,0,0,2,0
17031730202,0,0,0,1,0
17031730300,0,0,0,1,0
17031730400,0,0,0,1,0
17031730500,0,0,0,1,0
17031730600,0,0,0,1,0
17031730700,0,0,0,1,0
17031740100,0,0,0,0,0
17031740200,0,0,0,0,0
17031740300,0,0,0,0,0
17031740400,0,0,0,0,0
17031750100,0,0,0,1,0
17031750200,0,0,0,0,0
17031750300,0,0,0,0,0
17031750400,0,0,0,0,0
17031750500,0,0,0,0,0
17031750600,0,0,0,0,0
17031760801,0,0,0,0,0
17031760802,0,0,0,0,0
17031760803,0,0,0,0,0
17031770602,0,0,0,0,0
17031770902,0,0,0,0,0
17031810400,1,0,0,0,0
17031821402,0,0,0,0,0
17031823304,0,0,0,0,0
17031830500,0,0,1,1,1
17031830600,1,0,1,5,2
17031830700,1,0,1,4,1
17031830800,3,0,0,6,3
17031830900,0,0,1,0,0
17031831000,2,0,0,4,1
17031831100,1,0,1,0,0
17031831200,0,0,1,2,1
17031831300,0,0,0,1,0
17031831400,1,0,0,1,0
17031831500,1,0,0,0,0
17031831600,1,0,0,0,0
17031831700,1,0,0,0,0
17031831800,1,0,0,4,2
17031831900,2,0,0,4,1
17031832000,2,0,1,5,2
17031832100,4,0,1,7,2
17031832200,2,0,1,2,0
17031832300,0,0,0,1,0
17031832400,3,1,1,7,1
17031832500,0,0,0,2,0
17031832600,0,0,0,2,0
17031832900,4,1,1,3,4
17031833000,2,1,1,1,1
17031833100,4,1,1,0,3
17031833300,4,2,1,3,3
17031833900,1,0,0,2,0
17031834000,0,0,0,1,0
17031834200,2,0,0,1,1
17031834300,2,0,0,0,0
17031834400,1,0,1,0,1
17031834500,3,2,1,3,0
17031834600,1,2,0,2,0
17031834700,1,1,0,4,0
17031834800,1,1,0,2,0
17031834900,0,1,0,2,0
17031835000,1,1,0,3,1
17031835100,0,2,0,1,0
17031835200,0,0,0,2,0
17031835500,0,0,1,1,2
17031835600,1,1,1,2,2
17031835700,1,0,2,4,2
17031835800,1,2,2,4,3
17031835900,0,0,1,4,2
17031836000,1,1,1,5,3
17031836100,2,1,1,4,2
17031836200,2,2,2,2,1
17031836300,2,2,1,4,1
17031836400,0,1,0,3,1
17031836500,0,1,1,3,1
17031836600,3,1,0,9,3
17031836700,2,2,0,9,2
17031836800,2,1,0,4,2
17031836900,2,1,0,5,3
17031837000,3,1,0,4,2
17031837100,3,2,0,6,1
17031837300,4,1,0,3,1
17031837400,6,1,1,3,2
17031837800,4,3,1,3,3
17031838000,4,2,1,3,3
17031838100,4,1,1,3,3
17031838200,6,1,1,4,4
17031838300,3,0,0,2,0
17031838600,5,1,0,3,1
17031838700,3,0,1,6,1
17031838800,0,0,0,0,0
17031839000,0,1,1,0,1
17031839100,1,0,0,1,0
17031839200,1,0,3,3,4
17031839500,1,0,2,3,3
17031839600,0,0,2,3,3
17031839700,0,0,0,1,0
17031839800,0,0,2,1,0
17031839900,0,0,0,1,0
17031840000,0,0,2,1,0
17031840100,1,0,2,2,3
17031840200,0,0,1,0,1
17031840300,0,0,0,2,1
17031840400,0,0,0,1,1
17031840700,3,0,0,7,2
17031840800,1,0,1,4,0
17031841000,1,0,3,2,3
17031841100,1,1,2,1,2
17031841200,4,0,0,7,4
17031841300,0,0,0,7,2
17031841400,3,0,1,9,1
17031841500,4,1,0,8,1
17031841600,3,0,1,11,1
17031841700,3,0,1,10,1
17031841800,1,0,0,1,1
17031841900,1,1,1,2,1
17031842000,1,0,2,3,4
17031842100,1,0,0,3,2
17031842200,0,0,0,3,0
17031842300,0,0,0,3,0
17031842400,0,0,0,0,1
17031842500,1,1,0,2,0
17031842600,0,0,0,3,0
17031842800,0,0,0,1,1
17031842900,6,0,1,4,4
17031843000,1,0,0,4,1
17031843100,3,1,0,9,1
17031843200,0,0,0,3,3
17031843300,6,1,1,5,4
17031843400,0,0,1,3,1
17031843500,0,0,0,7,0
17031843600,1,2,1,4,2
17031843700,1,0,0,1,0
17031843800,1,2,1,3,1
17031843900,1,0,1,1,0
17031980000,0,0,0,0,0
17031980100,0,0,0,0,0
